"",BBK01.OEAC30U,BBK01.OEAC30U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:48,
2002-01,0.242,
2002-04,0.231,
2002-07,0.219,
2002-10,0.209,
2003-01,0.221,
2003-04,0.211,
2003-07,0.200,
2003-10,0.184,
2004-01,0.191,
2004-04,0.186,
2004-07,0.181,
2004-10,0.166,
2005-01,0.181,
2005-04,0.173,
2005-07,0.164,
2005-10,0.159,
2006-01,0.170,
2006-04,0.169,
2006-07,0.161,
2006-10,0.161,
2007-01,0.162,
2007-04,0.147,
2007-07,0.148,
2007-10,0.141,
2008-01,0.157,
2008-04,0.150,
2008-07,0.140,
2008-10,0.130,
2009-01,0.150,
2009-04,0.145,
2009-07,0.125,
2009-10,0.110,
2010-01,0.125,
2010-04,0.126,
2010-07,0.119,
2010-10,0.107,
2011-01,0.119,
2011-04,0.116,
2011-07,0.107,
2011-10,0.092,
2012-01,0.102,
2012-04,0.100,
2012-07,0.102,
2012-10,0.084,
2013-01,0.099,
2013-04,0.096,
2013-07,0.092,
2013-10,0.078,
2014-01,0.089,
2014-04,0.086,
2014-07,0.086,
