"",BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:58,
1991-01,-140.974,
1991-04,94.755,
1991-07,273.441,
1991-10,113.535,
1992-01,335.094,
1992-04,198.851,
1992-07,-55.713,
1992-10,16.808,
1993-01,-110.129,
1993-04,179.262,
1993-07,4.393,
1993-10,-288.878,
1994-01,44.818,
1994-04,666.772,
1994-07,-98.436,
1994-10,116.245,
1995-01,756.804,
1995-04,413.588,
1995-07,-266.911,
1995-10,499.150,
1996-01,50.805,
1996-04,-517.202,
1996-07,428.962,
1996-10,636.480,
1997-01,690.911,
1997-04,998.800,
1997-07,-268.625,
1997-10,-1150.093,
1998-01,750.060,
1998-04,2279.005,
1998-07,-403.923,
1998-10,4042.942,
1999-01,2284.623,
1999-04,-95.010,
1999-07,2982.918,
1999-10,-1704.460,
2000-01,-259.332,
2000-04,-1594.829,
2000-07,3340.250,
2000-10,-870.981,
2001-01,1296.383,
2001-04,753.206,
2001-07,-358.920,
2001-10,-1582.205,
2002-01,385.872,
2002-04,571.329,
2002-07,1439.767,
2002-10,-1319.865,
2003-01,-529.981,
2003-04,688.881,
2003-07,-2352.064,
2003-10,-2716.176,
2004-01,1289.862,
2004-04,-252.442,
2004-07,2439.740,
2004-10,-1476.584,
2005-01,745.674,
2005-04,-387.526,
2005-07,428.635,
2005-10,1833.853,
2006-01,1343.728,
2006-04,1375.218,
2006-07,-844.431,
2006-10,-1090.303,
2007-01,2674.323,
2007-04,-1138.730,
2007-07,1298.084,
2007-10,-2642.469,
2008-01,-678.876,
2008-04,4986.694,
2008-07,-4143.733,
2008-10,-2971.156,
2009-01,994.757,
2009-04,-40.359,
2009-07,1549.988,
2009-10,-1519.415,
2010-01,-154.031,
2010-04,-599.844,
2010-07,930.620,
2010-10,-712.215,
2011-01,1872.361,
2011-04,-1242.951,
2011-07,1084.153,
2011-10,-41.483,
2012-01,8004.778,
2012-04,6178.834,
2012-07,-6029.472,
2012-10,-863.926,
2013-01,-20.486,
2013-04,483.221,
2013-07,-1158.987,
2013-10,-5282.692,
2014-01,917.302,Provisional value
2014-04,-1453.221,Provisional value
2014-07,1756.020,Provisional value
2014-10,-2568.586,Provisional value
