"",BBFN1.M.DE.N.1.L.SY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Syria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:23,
1994-12,0.104,
1995-01,0.095,
1995-02,0.075,
1995-03,0.060,
1995-04,0.072,
1995-05,0.071,
1995-06,0.062,
1995-07,0.063,
1995-08,0.081,
1995-09,0.067,
1995-10,0.080,
1995-11,0.064,
1995-12,0.076,
1996-01,0.046,
1996-02,0.039,
1996-03,0.034,
1996-04,0.047,
1996-05,0.081,
1996-06,0.062,
1996-07,0.063,
1996-08,0.061,
1996-09,0.054,
1996-10,0.069,
1996-11,0.069,
1996-12,0.047,
1997-01,0.079,
1997-02,0.069,
1997-03,0.050,
1997-04,0.050,
1997-05,0.032,
1997-06,0.060,
1997-07,0.053,
1997-08,0.037,
1997-09,0.050,
1997-10,0.063,
1997-11,0.056,
1997-12,0.047,
1998-01,0.043,
1998-02,0.059,
1998-03,0.036,
1998-04,0.033,
1998-05,0.038,
1998-06,0.040,
1998-07,0.029,
1998-08,0.027,
1998-09,0.028,
1998-10,0.032,
1998-11,0.032,
1998-12,0.039,
1999-01,0.043,
1999-02,0.036,
1999-03,0.037,
1999-04,0.042,
1999-05,0.046,
1999-06,0.053,
1999-07,0.058,
1999-08,0.064,
1999-09,0.089,
1999-10,0.096,
1999-11,0.075,
1999-12,0.099,
2000-01,0.095,
2000-02,0.104,
2000-03,0.111,
2000-04,0.108,
2000-05,0.112,
2000-06,0.105,
2000-07,0.125,
2000-08,0.092,
2000-09,0.097,
2000-10,0.115,
2000-11,0.099,
2000-12,0.119,
2001-01,0.105,
2001-02,0.097,
2001-03,0.088,
2001-04,0.097,
2001-05,0.113,
2001-06,0.153,
2001-07,0.132,
2001-08,0.141,
2001-09,0.137,
2001-10,0.159,
2001-11,0.136,
2001-12,0.154,
2002-01,0.124,
2002-02,0.128,
2002-03,0.132,
2002-04,0.173,
2002-05,0.152,
2002-06,0.166,
2002-07,0.131,
2002-08,0.092,
2002-09,0.093,
2002-10,0.123,
2002-11,0.093,
2002-12,0.131,
2003-01,0.126,
2003-02,0.084,
2003-03,0.068,
2003-04,0.080,
2003-05,0.069,
2003-06,0.068,
2003-07,0.072,
2003-08,0.087,
2003-09,0.056,
2003-10,0.066,
2003-11,0.069,
2003-12,0.052,
2004-01,0.054,
2004-02,0.065,
2004-03,0.083,
2004-04,0.080,
2004-05,0.052,
2004-06,0.070,
2004-07,0.074,
2004-08,0.071,
2004-09,0.052,
2004-10,0.074,
2004-11,0.072,
2004-12,0.070,
2005-01,0.096,
2005-02,0.089,
2005-03,0.093,
2005-04,0.110,
2005-05,0.088,
2005-06,0.082,
2005-07,0.077,
2005-08,0.087,
2005-09,0.103,
2005-10,0.084,
2005-11,0.117,
2005-12,0.109,
2006-01,0.113,
2006-02,0.105,
2006-03,0.134,
2006-04,0.112,
2006-05,0.144,
2006-06,0.152,
2006-07,0.117,
2006-08,0.119,
2006-09,0.114,
2006-10,0.117,
2006-11,0.117,
2006-12,0.114,
2007-01,0.108,
2007-02,0.116,
2007-03,0.141,
2007-04,0.155,
2007-05,0.192,
2007-06,0.203,
2007-07,0.253,
2007-08,0.232,
2007-09,0.223,
2007-10,0.260,
2007-11,0.250,
2007-12,0.258,
2008-01,0.268,
2008-02,0.271,
2008-03,0.286,
2008-04,0.316,
2008-05,0.336,
2008-06,0.183,
2008-07,0.180,
2008-08,0.193,
2008-09,0.344,
2008-10,0.298,
2008-11,0.252,
2008-12,0.218,
2009-01,0.223,
2009-02,0.225,
2009-03,0.233,
2009-04,0.236,
2009-05,0.239,
2009-06,0.267,
2009-07,0.246,
2009-08,0.275,
2009-09,0.247,
2009-10,0.246,
2009-11,0.328,
2009-12,0.253,
2010-01,0.253,
2010-02,0.129,
2010-03,0.129,
2010-04,0.135,
2010-05,0.139,
2010-06,0.148,
2010-07,0.146,
2010-08,0.146,
2010-09,0.094,
2010-10,0.132,
2010-11,0.101,
2010-12,0.100,
2011-01,0.101,
2011-02,0.098,
2011-03,0.097,
2011-04,0.102,
2011-05,0.101,
2011-06,0.102,
2011-07,0.102,
2011-08,0.110,
2011-09,0.107,
2011-10,0.105,
2011-11,0.108,
2011-12,0.104,
2012-01,0.105,
2012-02,0.121,
2012-03,0.105,
2012-04,0.102,
2012-05,0.102,
2012-06,0.101,
2012-07,0.101,
2012-08,0.099,
2012-09,0.101,
2012-10,0.100,
2012-11,0.099,
2012-12,0.101,
2013-01,0.110,
2013-02,0.112,
2013-03,0.122,
2013-04,0.096,
2013-05,0.101,
2013-06,0.103,
2013-07,0.089,
2013-08,0.111,
2013-09,0.112,
2013-10,0.099,
2013-11,0.107,
2013-12,0.107,
2014-01,0.106,
2014-02,0.104,
2014-03,0.103,
2014-04,0.092,
2014-05,0.102,
2014-06,0.101,
2014-07,0.092,
2014-08,0.101,
2014-09,0.101,
2014-10,0.092,
2014-11,0.091,
2014-12,0.090,
