"",BBEX3.M.LVL.USD.CA.AC.A01,BBEX3.M.LVL.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Latvia / USD 1 = LVL ... (middle),
unit,LVL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:57,
1993-06,0.66300,
1993-07,0.65200,
1993-08,0.62715,
1993-09,0.61045,
1993-10,0.61435,
1993-11,0.60570,
1993-12,0.59365,
1994-01,0.58215,
1994-02,0.57320,
1994-03,0.56620,
1994-04,0.56485,
1994-05,0.56415,comment
1994-06,0.55095,
1994-07,0.55320,
1994-08,0.55190,
1994-09,0.54525,
1994-10,0.53565,
1994-11,0.54765,
1994-12,0.54930,
1995-01,0.54305,
1995-02,0.53465,
1995-03,0.51290,
1995-04,0.50635,
1995-05,0.50765,
1995-06,0.50950,
1995-07,0.51355,comment
1995-08,0.53850,
1995-09,0.53020,
1995-10,0.53455,
1995-11,0.53745,
1995-12,0.53890,
1996-01,0.55035,
1996-02,0.54465,
1996-03,0.54685,
1996-04,0.55395,
1996-05,0.55465,
1996-06,0.55380,
1996-07,0.54615,
1996-08,0.54800,
1996-09,0.55495,
1996-10,0.55295,
1996-11,0.55350,
1996-12,0.55665,
1997-01,0.57300,
1997-02,0.57700,
1997-03,0.58000,
1997-04,0.58600,
1997-05,0.57500,
1997-06,0.57400,
1997-07,0.58900,
1997-08,0.58800,
1997-09,0.58600,
1997-10,0.57800,
1997-11,0.58700,
1997-12,0.59000,
1998-01,0.59200,
1998-02,0.59400,
1998-03,0.59500,
1998-04,0.59400,
1998-05,0.59700,
1998-06,0.60100,
1998-07,0.59900,
1998-08,0.60100,
1998-09,0.58300,
1998-10,0.56800,
1998-11,0.57900,
1998-12,0.56900,
1999-01,0.57400,
1999-02,0.58600,
1999-03,0.59000,
1999-04,0.59100,
1999-05,0.59700,
1999-06,0.59800,
1999-07,0.58800,
1999-08,0.58700,
1999-09,0.57900,
1999-10,0.57700,
1999-11,0.58400,
1999-12,0.58300,
2000-01,0.58800,
2000-02,0.59800,
2000-03,0.59600,
2000-04,0.60200,
2000-05,0.60600,
2000-06,0.60000,
2000-07,0.60600,
2000-08,0.61300,
2000-09,0.61500,
2000-10,0.62400,
2000-11,0.62500,
2000-12,0.61300,
2001-01,0.61900,
2001-02,0.62000,
2001-03,0.63100,
2001-04,0.62800,
2001-05,0.63600,
2001-06,0.63900,
2001-07,0.63500,
2001-08,0.62400,
2001-09,0.61900,
2001-10,0.62600,
2001-11,0.63200,
2001-12,0.63800,
2002-01,0.64400,
2002-02,0.64400,
2002-03,0.64100,
2002-04,0.63000,
2002-05,0.62000,
2002-06,0.60500,
2002-07,0.60400,
2002-08,0.60400,
2002-09,0.60600,
2002-10,0.60600,
2002-11,0.60500,
2002-12,0.59400,
2003-01,0.58100,
2003-02,0.58300,
2003-03,0.58700,
2003-04,0.58100,
2003-05,0.56500,
2003-06,0.56900,
2003-07,0.57100,
2003-08,0.58300,
2003-09,0.56500,
2003-10,0.55700,
2003-11,0.55300,
