"",BBK01.OEAH88K,BBK01.OEAH88K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:00,
2002-01,2.702,
2002-04,2.940,
2002-07,3.198,
2002-10,2.763,
2003-01,3.479,
2003-04,2.870,
2003-07,2.929,
2003-10,2.168,
2004-01,2.099,
2004-04,2.275,
2004-07,2.145,
2004-10,1.672,
2005-01,1.380,
2005-04,1.628,
2005-07,1.063,
2005-10,1.364,
2006-01,1.314,
2006-04,1.309,
2006-07,1.333,
2006-10,1.417,
2007-01,1.621,
2007-04,1.341,
2007-07,1.717,
2007-10,1.705,
2008-01,1.643,
2008-04,1.849,
2008-07,1.854,
2008-10,1.918,
2009-01,1.621,
2009-04,1.509,
2009-07,1.213,
2009-10,0.894,
2010-01,0.753,
2010-04,0.792,
2010-07,0.978,
2010-10,0.900,
2011-01,0.645,
2011-04,0.683,
2011-07,0.746,
2011-10,0.909,
2012-01,0.651,
2012-04,0.657,
2012-07,0.604,
2012-10,1.484,
2013-01,1.469,
2013-04,1.408,
2013-07,1.332,
2013-10,0.518,
2014-01,0.493,
2014-04,0.541,
2014-07,0.518,
