"",BBSF2.M.1.T.00000.DRE01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.DRE01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:35,
2009-09,4115,
2009-10,4147,
2009-11,4272,
2009-12,4325,
2010-01,4399,
2010-02,4531,
2010-03,4738,
2010-04,4898,
2010-05,4810,
2010-06,4786,
2010-07,4835,
2010-08,4938,
2010-09,5127,
2010-10,5291,
2010-11,5384,
2010-12,5530,
2011-01,5575,
2011-02,5629,
2011-03,5588,
2011-04,5665,
2011-05,5983,
2011-06,5947,
2011-07,6070,
2011-08,5950,
2011-09,6009,
2011-10,6113,
2011-11,5962,
2011-12,6256,
2012-01,6474,
2012-02,6436,
2012-03,6504,
2012-04,6643,
2012-05,6597,
2012-06,6723,
2012-07,6983,
2012-08,6764,
2012-09,6857,
2012-10,6844,
2012-11,6936,
2012-12,7020,
2013-01,7187,
2013-02,7250,
2013-03,7333,
2013-04,7586,
2013-05,7594,
2013-06,7220,
2013-07,7249,
2013-08,7123,
2013-09,7164,
2013-10,7389,
2013-11,7412,
2013-12,7402,
2014-01,7391,
2014-02,7514,
2014-03,7636,
2014-04,2413,
2014-05,2466,
2014-06,2479,
2014-07,2575,
2014-08,2612,
2014-09,2610,
2014-10,2638,
2014-11,2661,
