"",BBK01.OEYB11V,BBK01.OEYB11V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:04,
2002-01,1.039,
2002-04,0.955,
2002-07,0.969,
2002-10,0.958,
2003-01,0.824,
2003-04,0.778,
2003-07,0.735,
2003-10,0.800,
2004-01,0.832,
2004-04,0.968,
2004-07,1.028,
2004-10,1.008,
2005-01,0.995,
2005-04,0.899,
2005-07,0.757,
2005-10,0.710,
2006-01,0.670,
2006-04,0.658,
2006-07,0.706,
2006-10,0.782,
2007-01,0.692,
2007-04,0.669,
2007-07,0.634,
2007-10,0.688,
2008-01,0.551,
2008-04,0.167,
2008-07,0.166,
2008-10,0.098,
2009-01,0.117,
2009-04,0.169,
2009-07,0.154,
2009-10,0.253,
2010-01,0.129,
2010-04,0.184,
2010-07,0.177,
2010-10,0.173,
2011-01,0.176,
2011-04,0.192,
2011-07,0.195,
2011-10,0.206,
2012-01,0.207,
2012-04,0.237,
2012-07,0.203,
2012-10,0.215,
2013-01,0.177,
2013-04,0.184,
2013-07,0.152,
2013-10,0.172,
2014-01,0.163,
2014-04,0.157,
2014-07,0.148,
