"",BBEX3.M.MOP.USD.CA.AB.A01,BBEX3.M.MOP.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Macao  / USD 1 = MOP ... (selling),
unit,MOP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:16,
1975-01,4.7775,
1975-02,4.7420,
1975-03,4.8860,
1975-04,4.9995,
1975-05,5.0020,
1975-06,5.0605,
1975-07,5.1410,
1975-08,5.1460,
1975-09,5.1560,
1975-10,5.1110,
1975-11,5.1160,
1975-12,5.1160,
1976-01,5.0980,
1976-02,5.0525,
1976-03,5.0010,
1976-04,4.9945,
1976-05,4.9645,
1976-06,5.0225,
1976-07,4.9895,
1976-08,4.9795,
1976-09,4.9540,
1976-10,4.9035,
1976-11,4.8355,
1976-12,4.7470,
1977-01,4.7370,
1977-02,4.6750,
1977-03,4.6700,
1977-04,5.0410,
1977-05,5.0787,
1977-06,5.0733,
1977-07,5.0437,
1977-08,5.0303,
1977-09,5.0626,
1977-10,5.0922,
1977-11,5.0438,
1977-12,5.0007,
1978-01,4.9819,
1978-02,4.9926,
1978-03,5.0088,
1978-04,5.0165,
1978-05,5.0464,
1978-06,5.0330,
1978-07,5.0411,
1978-08,5.1056,
1978-09,5.1325,
1978-10,5.1137,
1978-11,5.2078,
1978-12,5.0353,
1979-01,4.9910,
1979-02,5.0561,
1979-03,5.2281,
1979-04,5.2883,
1979-05,5.3299,
1979-06,5.3325,
1979-07,5.4184,
1979-08,5.2883,
1979-09,5.2258,
1979-10,5.2727,
1979-11,5.2258,
1979-12,5.1816,
1980-01,5.0593,
1980-02,5.1738,
1980-03,5.3143,
1980-04,5.1191,
1980-05,5.1321,
1980-06,5.1634,
1980-07,5.1686,
1980-08,5.1816,
1980-09,5.2414,
1980-10,5.3039,
1980-11,5.3559,
1980-12,5.3768,
1981-01,5.5121,
1981-02,5.5850,
1981-03,5.5069,
1981-04,5.6240,
1981-05,5.7255,
1981-06,5.8140,
1981-07,6.0482,
1981-08,6.1992,
1981-09,6.4126,
1981-10,6.1315,
1981-11,5.9129,
1981-12,5.9545,
1982-01,6.0690,
1982-02,6.1783,
1982-03,6.1107,
1982-04,6.0742,
1982-05,6.0066,
1982-06,6.1783,
1982-07,6.2200,
1982-08,6.3865,
1982-09,6.5063,
1982-10,7.1725,
1982-11,6.9799,
1982-12,6.7977,
1983-01,6.8758,
1983-02,6.9122,
1983-03,7.0320,
1983-04,7.2141,
1983-05,7.4457,
1983-06,7.4562,
1983-07,7.5439,
1983-08,7.8484,
1983-09,8.3983,
1983-10,8.0884,
1983-11,8.0845,
1983-12,8.0742,
1984-01,8.0845,
1984-02,8.0638,
1984-03,8.0845,
1984-04,8.0845,
1984-05,8.0948,
1984-06,8.0948,
1984-07,8.1361,
1984-08,8.1258,
1984-09,8.0948,
1984-10,8.1051,
1984-11,8.1129,
1984-12,8.1051,
1985-01,8.0803,
1985-02,8.0896,
1985-03,8.0834,
1985-04,8.0628,
1985-05,8.0566,
1985-06,8.0442,
1985-07,8.0050,
1985-08,8.0610,
1985-09,8.0420,
1985-10,8.0674,
1985-11,8.0705,
1985-12,8.0824,
1986-01,8.0757,
1986-02,8.0711,
1986-03,8.0881,
1986-04,8.0643,
1986-05,8.0793,
1986-06,8.0803,
1986-07,8.0772,
1986-08,8.0711,
1986-09,8.0721,
1986-10,8.0705,
1986-11,8.0540,
1986-12,8.0705,
1987-01,8.0437,
1987-02,8.0664,
1987-03,8.0690,
1987-04,8.0731,
1987-05,8.0578,
1987-06,8.0588,
1987-07,8.0614,
1987-08,8.0583,
1987-09,8.0583,
1987-10,8.0583,
1987-11,8.0331,
1987-12,8.0165,
1988-01,8.0362,
1988-02,8.0490,
1988-03,8.0593,
1988-04,8.0686,
1988-05,8.0640,
1988-06,8.0537,
1988-07,8.0557,
1988-08,8.0537,
1988-09,8.0583,
1988-10,8.0616,
1988-11,8.0603,
1988-12,8.0628,
1989-01,8.0546,
1989-02,8.0531,
1989-03,8.0397,
1989-04,8.0329,
1989-05,8.0285,
1989-06,8.0481,
1989-07,8.0603,
1989-08,8.0631,
1989-09,8.0561,
1989-10,8.0628,
1989-11,8.0685,
1989-12,8.0966,
1990-01,8.0670,
1990-02,8.0626,
1990-03,8.0623,
1990-04,8.0474,
1990-05,8.0340,
1990-06,8.0415,
1990-07,8.0157,
1990-08,8.0118,
1990-09,8.0154,
1990-10,8.0433,
1990-11,8.0495,
1990-12,8.0541,
1991-01,8.0472,
1991-02,8.0451,
1991-03,8.0491,
1991-04,8.0497,
1991-05,7.9833,
1991-06,8.0154,
1991-07,8.0159,
1991-08,8.0138,
1991-09,7.9973,
1991-10,8.0190,
1991-11,8.0143,
1991-12,8.0340,
1992-01,8.0154,
1992-02,8.0097,
1992-03,7.9916,
1992-04,8.0102,
1992-05,7.9958,
1992-06,7.9831,
1992-07,7.9880,
1992-08,7.9797,
1992-09,7.9806,
1992-10,7.9813,
1992-11,7.9900,
1992-12,7.9916,
1993-01,7.9844,
1993-02,7.9859,
1993-03,7.9831,
1993-04,7.9807,
1993-05,7.9746,
1993-06,7.9989,
1993-07,8.0081,
1993-08,8.0015,
1993-09,7.9890,
1993-10,7.9794,
1993-11,7.9777,
1993-12,7.9761,
1994-01,7.9749,
1994-02,7.9797,
1994-03,7.9782,
1994-04,7.9769,
1994-05,7.9776,
1994-06,7.9805,
1994-07,7.9771,
1994-08,7.9795,
1994-09,7.9792,
1994-10,7.9792,
1994-11,7.9854,
1994-12,7.9900,
1995-01,7.9849,
1995-02,7.9833,
1995-03,7.9844,
1995-04,7.9942,
1995-05,7.9880,
1995-06,7.9895,
1995-07,7.9900,
1995-08,7.9950,
1995-09,7.9838,
1995-10,7.9844,
1995-11,7.9874,
1995-12,7.9844,
1996-01,7.9851,
1996-02,7.9833,
1996-03,7.9864,
1996-04,7.9869,
1996-05,7.9895,
1996-06,7.9932,
1996-07,7.9860,
1996-08,7.9844,
1996-09,7.9854,
1996-10,7.9839,
1996-11,7.9838,
1996-12,7.9869,
1997-01,8.0004,
1997-02,7.9961,
1997-03,8.0024,
1997-04,7.9981,
1997-05,8.0009,
1997-06,8.0020,
1997-07,7.9963,
1997-08,8.0020,
1997-09,7.9913,
1997-10,7.9818,
1997-11,7.9821,
1997-12,8.0015,
1998-01,7.9864,
1998-02,7.9948,
1998-03,7.9994,
1998-04,7.9989,
1998-05,8.0009,
1998-06,8.0009,
1998-07,8.0004,
1998-08,7.9989,
1998-09,7.9994,
1998-10,7.9999,
1998-11,7.9951,
1998-12,7.9999,
1999-01,8.0012,
1999-02,7.9996,
1999-03,8.0030,
1999-04,8.0035,
