"",BBK01.OEBB24L,BBK01.OEBB24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:24,
2002-01,1.821,
2002-04,1.361,
2002-07,1.570,
2002-10,1.757,
2003-01,1.280,
2003-04,0.931,
2003-07,0.816,
2003-10,1.019,
2004-01,1.684,
2004-04,1.580,
2004-07,2.814,
2004-10,2.158,
2005-01,4.365,
2005-04,4.631,
2005-07,4.173,
2005-10,8.809,
2006-01,9.510,
2006-04,8.065,
2006-07,7.644,
2006-10,7.872,
2007-01,8.688,
2007-04,7.967,
2007-07,7.663,
2007-10,7.758,
2008-01,7.622,
2008-04,7.772,
2008-07,7.516,
2008-10,7.147,
2009-01,6.568,
2009-04,6.199,
2009-07,6.404,
2009-10,6.147,
2010-01,5.818,
2010-04,6.455,
2010-07,6.699,
2010-10,6.740,
2011-01,6.970,
2011-04,7.054,
2011-07,7.221,
2011-10,7.106,
2012-01,6.782,
2012-04,6.752,
2012-07,6.479,
2012-10,6.341,
2013-01,5.893,
2013-04,6.560,
2013-07,6.122,
2013-10,5.891,
2014-01,6.606,
2014-04,6.927,
2014-07,7.620,
