"",BBK01.OEAK03N,BBK01.OEAK03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:19,
2002-01,7.958,
2002-04,7.833,
2002-07,7.954,
2002-10,8.098,
2003-01,7.947,
2003-04,7.659,
2003-07,7.376,
2003-10,7.184,
2004-01,6.941,
2004-04,6.635,
2004-07,6.500,
2004-10,6.457,
2005-01,6.416,
2005-04,6.090,
2005-07,6.137,
2005-10,6.352,
2006-01,6.559,
2006-04,6.898,
2006-07,7.206,
2006-10,7.422,
2007-01,7.765,
2007-04,8.098,
2007-07,8.998,
2007-10,9.774,
2008-01,9.997,
2008-04,10.469,
2008-07,11.016,
2008-10,11.522,
2009-01,9.117,
2009-04,7.679,
2009-07,6.466,
2009-10,5.713,
2010-01,5.255,
2010-04,4.799,
2010-07,4.608,
2010-10,4.689,
2011-01,5.118,
2011-04,5.507,
2011-07,6.118,
2011-10,6.374,
2012-01,6.041,
2012-04,5.699,
2012-07,5.349,
2012-10,5.080,
2013-01,4.974,
2013-04,4.828,
2013-07,4.616,
2013-10,4.658,
2014-01,4.847,
2014-04,4.907,
2014-07,4.842,
