"",BBK01.OEAB08I,BBK01.OEAB08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:41,
2002-01,94.331,
2002-04,98.221,
2002-07,93.534,
2002-10,91.869,
2003-01,89.675,
2003-04,80.221,
2003-07,78.521,
2003-10,75.726,
2004-01,75.227,
2004-04,75.120,
2004-07,74.973,
2004-10,74.546,
2005-01,77.693,
2005-04,77.990,
2005-07,78.670,
2005-10,80.300,
2006-01,78.616,
2006-04,79.322,
2006-07,88.374,
2006-10,88.741,
2007-01,88.470,
2007-04,88.621,
2007-07,88.578,
2007-10,88.757,
2008-01,89.380,
2008-04,91.726,
2008-07,92.449,
2008-10,93.190,
2009-01,93.217,
2009-04,95.860,
2009-07,106.156,
2009-10,106.244,
2010-01,105.698,
2010-04,105.548,
2010-07,107.813,
2010-10,107.475,
2011-01,106.707,
2011-04,106.474,
2011-07,105.977,
2011-10,106.110,
2012-01,106.245,
2012-04,106.851,
2012-07,106.620,
2012-10,106.097,
2013-01,104.742,
2013-04,105.597,
2013-07,105.872,
2013-10,106.131,
2014-01,105.143,
2014-04,105.098,
2014-07,104.836,
