"",BBFN1.M.DE.N.1.L.W00200.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1991-01,29.269,
1991-02,30.207,
1991-03,30.574,
1991-04,30.927,
1991-05,31.086,
1991-06,31.447,
1991-07,31.898,
1991-08,31.768,
1991-09,31.609,
1991-10,31.784,
1991-11,32.166,
1991-12,32.629,
1992-01,33.459,
1992-02,33.511,
1992-03,33.998,
1992-04,34.497,
1992-05,34.591,
1992-06,35.364,
1992-07,35.482,
1992-08,35.872,
1992-09,36.437,
1992-10,36.987,
1992-11,37.704,
1992-12,38.575,
1993-01,39.110,
1993-02,40.782,
1993-03,40.931,
1993-04,41.126,
1993-05,41.893,
1993-06,42.152,
1993-07,42.430,
1993-08,42.577,
1993-09,42.123,
1993-10,41.767,
1993-11,42.211,
1993-12,42.866,
1994-01,43.265,
1994-02,43.581,
1994-03,44.472,
1994-04,44.651,
1994-05,45.216,
1994-06,45.177,
1994-07,46.251,
1994-08,47.092,
1994-09,47.106,
1994-10,45.970,
1994-11,46.102,
1994-12,47.266,
1995-01,42.807,
1995-02,42.262,
1995-03,42.332,
1995-04,42.618,
1995-05,42.922,
1995-06,43.662,
1995-07,44.735,
1995-08,44.954,
1995-09,45.191,
1995-10,45.933,
1995-11,46.273,
1995-12,44.862,
1996-01,44.574,
1996-02,44.720,
1996-03,44.420,
1996-04,44.713,
1996-05,44.661,
1996-06,44.369,
1996-07,44.829,
1996-08,44.903,
1996-09,45.624,
1996-10,45.735,
1996-11,45.637,
1996-12,44.998,
1997-01,45.885,
1997-02,46.194,
1997-03,46.254,
1997-04,45.897,
1997-05,45.742,
1997-06,45.831,
1997-07,47.079,
1997-08,47.731,
1997-09,48.595,
1997-10,48.544,
1997-11,48.739,
1997-12,49.888,
1998-01,50.923,
1998-02,52.478,
1998-03,53.187,
1998-04,54.201,
1998-05,54.951,
1998-06,57.425,
1998-07,59.370,
1998-08,59.750,
1998-09,60.373,
1998-10,62.248,
1998-11,61.259,
1998-12,66.728,
1999-01,68.205,
1999-02,68.548,
1999-03,68.449,
1999-04,68.999,
1999-05,73.465,
1999-06,74.322,
1999-07,79.602,
1999-08,81.488,
1999-09,84.012,
1999-10,88.095,
1999-11,90.574,
1999-12,92.414,
2000-01,97.956,
2000-02,98.166,
2000-03,98.417,
2000-04,98.726,
2000-05,99.987,
2000-06,101.861,
2000-07,118.169,
2000-08,118.078,
2000-09,120.934,
2000-10,121.432,
2000-11,123.909,
2000-12,165.490,
2001-01,170.080,
2001-02,172.942,
2001-03,174.751,
2001-04,179.053,
2001-05,181.448,
2001-06,182.817,
2001-07,192.908,
2001-08,201.721,
2001-09,206.900,
2001-10,209.308,
2001-11,213.993,
2001-12,215.123,
2002-01,227.803,
2002-02,230.894,
2002-03,220.739,
2002-04,233.044,
2002-05,253.983,
2002-06,249.405,
2002-07,252.548,
2002-08,254.742,
2002-09,257.181,
2002-10,260.813,
2002-11,266.775,
2002-12,267.834,
2003-01,264.573,
2003-02,268.299,
2003-03,263.732,
2003-04,268.097,
2003-05,268.590,
2003-06,273.340,
2003-07,273.729,
2003-08,277.624,
2003-09,278.303,
2003-10,279.133,
2003-11,279.790,
2003-12,264.092,
2004-01,262.394,
2004-02,238.875,
2004-03,238.020,
2004-04,241.121,
2004-05,244.699,
2004-06,248.532,
2004-07,247.016,
2004-08,246.004,
2004-09,243.511,
2004-10,238.979,
2004-11,234.031,
2004-12,232.866,
2005-01,237.487,
2005-02,242.238,
2005-03,242.082,
2005-04,242.327,
2005-05,245.610,
2005-06,245.263,
2005-07,241.572,
2005-08,241.780,
2005-09,244.931,
2005-10,248.894,
2005-11,250.393,
2005-12,249.903,
2006-01,255.023,
2006-02,259.175,
2006-03,262.956,
2006-04,263.633,
2006-05,264.921,
2006-06,270.472,
2006-07,272.386,
2006-08,272.748,
2006-09,271.437,
2006-10,272.502,
2006-11,275.163,
2006-12,272.656,
2007-01,273.686,
2007-02,270.505,
2007-03,269.579,
2007-04,273.024,
2007-05,271.852,
2007-06,272.031,
2007-07,272.149,
2007-08,276.509,
2007-09,276.409,
2007-10,279.453,
2007-11,276.538,
2007-12,271.612,
2008-01,274.805,
2008-02,281.495,
2008-03,284.794,
2008-04,291.270,
2008-05,296.592,
2008-06,293.792,
2008-07,294.969,
2008-08,297.429,
2008-09,304.104,
2008-10,308.907,
2008-11,313.087,
2008-12,317.551,
2009-01,328.789,
2009-02,340.624,
2009-03,336.450,
2009-04,340.365,
2009-05,346.105,
2009-06,346.629,
2009-07,351.547,
2009-08,357.943,
2009-09,354.233,
2009-10,353.726,
2009-11,354.384,
2009-12,357.405,
2010-01,353.420,
2010-02,354.069,
2010-03,359.910,
2010-04,362.297,
2010-05,362.829,
2010-06,362.263,
2010-07,368.039,
2010-08,367.486,
2010-09,366.241,
2010-10,364.159,
2010-11,365.920,
2010-12,378.204,
2011-01,377.875,
2011-02,375.766,
2011-03,379.770,
2011-04,378.413,
2011-05,382.003,
2011-06,379.098,
2011-07,382.499,
2011-08,382.622,
2011-09,379.893,
2011-10,380.761,
2011-11,374.963,
2011-12,374.757,
2012-01,377.824,
2012-02,378.022,
2012-03,381.894,
2012-04,387.474,
2012-05,386.689,
2012-06,391.364,
2012-07,390.437,
2012-08,395.662,
2012-09,392.825,
2012-10,390.229,
2012-11,394.561,
2012-12,390.968,
2013-01,393.653,
2013-02,391.424,
2013-03,397.781,
2013-04,411.724,
2013-05,410.654,
2013-06,409.002,
2013-07,404.868,
2013-08,403.618,
2013-09,409.888,
2013-10,417.280,
2013-11,413.139,
2013-12,410.689,
2014-01,408.454,
2014-02,409.722,
2014-03,412.356,
2014-04,412.324,
2014-05,416.086,
2014-06,420.284,
2014-07,420.869,
2014-08,420.346,
2014-09,418.310,
2014-10,419.243,
2014-11,421.299,
2014-12,418.393,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
