"",BBK01.OELB04I,BBK01.OELB04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:28,
2002-01,4.253,
2002-04,4.501,
2002-07,4.581,
2002-10,4.706,
2003-01,4.665,
2003-04,4.864,
2003-07,5.046,
2003-10,5.099,
2004-01,5.069,
2004-04,5.150,
2004-07,5.295,
2004-10,5.550,
2005-01,5.566,
2005-04,5.648,
2005-07,5.623,
2005-10,5.717,
2006-01,5.659,
2006-04,5.160,
2006-07,5.165,
2006-10,4.947,
2007-01,4.975,
2007-04,5.055,
2007-07,5.099,
2007-10,5.114,
2008-01,5.153,
2008-04,5.193,
2008-07,5.268,
2008-10,5.336,
2009-01,5.340,
2009-04,5.410,
2009-07,5.514,
2009-10,5.522,
2010-01,5.596,
2010-04,5.784,
2010-07,5.856,
2010-10,5.876,
2011-01,5.982,
2011-04,6.088,
2011-07,6.279,
2011-10,6.091,
2012-01,6.155,
2012-04,7.894,
2012-07,8.064,
2012-10,8.239,
2013-01,8.354,
2013-04,8.566,
2013-07,8.766,
2013-10,8.942,
2014-01,8.848,
2014-04,9.080,
2014-07,9.274,
