"",BBK01.OEAF13I,BBK01.OEAF13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:36,
2002-01,0.123,
2002-04,0.125,
2002-07,0.128,
2002-10,0.116,
2003-01,0.093,
2003-04,0.102,
2003-07,0.112,
2003-10,0.093,
2004-01,0.148,
2004-04,0.131,
2004-07,0.144,
2004-10,0.134,
2005-01,0.136,
2005-04,0.126,
2005-07,0.125,
2005-10,0.124,
2006-01,0.102,
2006-04,0.101,
2006-07,0.122,
2006-10,0.102,
2007-01,0.111,
2007-04,0.115,
2007-07,0.084,
2007-10,0.083,
2008-01,0.086,
2008-04,0.081,
2008-07,0.079,
2008-10,0.083,
2009-01,0.079,
2009-04,0.068,
2009-07,0.071,
2009-10,0.069,
2010-01,0.072,
2010-04,0.076,
2010-07,0.113,
2010-10,0.076,
2011-01,0.105,
2011-04,0.094,
2011-07,0.094,
2011-10,0.080,
2012-01,0.066,
2012-04,0.077,
2012-07,0.060,
2012-10,0.065,
2013-01,0.059,
2013-04,0.064,
2013-07,0.063,
2013-10,0.058,
2014-01,0.053,
2014-04,0.053,
2014-07,0.054,
