"",BBK01.OEAE26J,BBK01.OEAE26J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:44,
2002-01,0.166,
2002-04,0.161,
2002-07,0.151,
2002-10,0.148,
2003-01,0.156,
2003-04,0.117,
2003-07,0.116,
2003-10,0.106,
2004-01,0.108,
2004-04,0.105,
2004-07,0.101,
2004-10,0.089,
2005-01,0.088,
2005-04,0.085,
2005-07,0.087,
2005-10,0.084,
2006-01,0.080,
2006-04,0.081,
2006-07,0.072,
2006-10,0.074,
2007-01,0.074,
2007-04,0.085,
2007-07,0.084,
2007-10,0.090,
2008-01,0.097,
2008-04,0.091,
2008-07,0.097,
2008-10,0.029,
2009-01,0.025,
2009-04,0.025,
2009-07,0.027,
2009-10,0.034,
2010-01,0.025,
2010-04,0.036,
2010-07,0.033,
2010-10,0.031,
2011-01,0.032,
2011-04,0.031,
2011-07,0.037,
2011-10,0.045,
2012-01,0.020,
2012-04,0.018,
2012-07,0.023,
2012-10,0.022,
2013-01,0.021,
2013-04,0.023,
2013-07,0.023,
2013-10,0.020,
2014-01,0.019,
2014-04,0.018,
2014-07,0.026,
