"",BBK01.OECB01R,BBK01.OECB01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:34,
2002-01,3.215,
2002-04,3.121,
2002-07,3.097,
2002-10,3.118,
2003-01,2.831,
2003-04,2.699,
2003-07,2.680,
2003-10,2.613,
2004-01,2.562,
2004-04,2.510,
2004-07,2.449,
2004-10,2.891,
2005-01,3.833,
2005-04,3.784,
2005-07,3.779,
2005-10,3.698,
2006-01,3.603,
2006-04,3.567,
2006-07,3.554,
2006-10,3.444,
2007-01,3.447,
2007-04,3.431,
2007-07,3.382,
2007-10,3.389,
2008-01,3.340,
2008-04,3.416,
2008-07,3.427,
2008-10,3.346,
2009-01,3.338,
2009-04,3.710,
2009-07,3.586,
2009-10,3.581,
2010-01,3.586,
2010-04,3.529,
2010-07,3.513,
2010-10,3.495,
2011-01,3.558,
2011-04,3.503,
2011-07,3.476,
2011-10,3.484,
2012-01,3.508,
2012-04,3.500,
2012-07,3.495,
2012-10,3.500,
2013-01,3.519,
2013-04,3.565,
2013-07,3.636,
2013-10,3.614,
2014-01,3.626,
2014-04,3.619,
2014-07,3.584,
