"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.IT.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.IT.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Italy / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:09,
2009-09,22016,
2009-10,22783,
2009-11,22821,
2009-12,23572,
2010-01,23890,
2010-02,23844,
2010-03,23968,
2010-04,22790,
2010-05,22532,
2010-06,22409,
2010-07,23684,
2010-08,24177,
2010-09,24206,
2010-10,24750,
2010-11,22850,
2010-12,22016,
2011-01,22079,
2011-02,22040,
2011-03,22270,
2011-04,22792,
2011-05,22411,
2011-06,21201,
2011-07,18718,
2011-08,17744,
2011-09,16201,
2011-10,15041,
2011-11,14327,
2011-12,15201,
2012-01,15789,
2012-02,17488,
2012-03,17541,
2012-04,17379,
2012-05,17220,
2012-06,17203,
2012-07,16678,
2012-08,17194,
2012-09,17227,
2012-10,18016,
2012-11,20692,
2012-12,21890,
2013-01,23483,
2013-02,23443,
2013-03,24208,
2013-04,25722,
2013-05,25623,
2013-06,25123,
2013-07,25420,
2013-08,25487,
2013-09,25453,
2013-10,24042,
2013-11,23327,
2013-12,23200,
2014-01,24060,
2014-02,23962,
2014-03,24321,
2014-04,24645,
2014-05,24699,
2014-06,23613,
2014-07,23493,
2014-08,24001,
2014-09,24230,
2014-10,23966,
2014-11,24968,
