"",BBK01.OELL09T,BBK01.OELL09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:37,
2002-01,0.264,
2002-04,0.255,
2002-07,0.260,
2002-10,0.238,
2003-01,0.218,
2003-04,0.211,
2003-07,0.213,
2003-10,0.220,
2004-01,0.227,
2004-04,0.233,
2004-07,0.238,
2004-10,0.252,
2005-01,0.267,
2005-04,0.258,
2005-07,0.247,
2005-10,0.239,
2006-01,0.232,
2006-04,0.235,
2006-07,0.237,
2006-10,0.242,
2007-01,0.246,
2007-04,0.225,
2007-07,0.227,
2007-10,0.224,
2008-01,0.204,
2008-04,0.189,
2008-07,0.186,
2008-10,0.172,
2009-01,0.153,
2009-04,0.151,
2009-07,0.145,
2009-10,0.152,
2010-01,0.162,
2010-04,0.160,
2010-07,0.153,
2010-10,0.143,
2011-01,0.127,
2011-04,0.129,
2011-07,0.138,
2011-10,0.122,
2012-01,0.134,
2012-04,0.105,
2012-07,0.089,
2012-10,0.083,
2013-01,0.078,
2013-04,0.074,
2013-07,0.077,
2013-10,0.073,
2014-01,0.072,
2014-04,0.069,
2014-07,0.070,
