"",BBK01.OEAF36Q,BBK01.OEAF36Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:33,
2002-01,2.761,
2002-04,2.762,
2002-07,2.766,
2002-10,2.774,
2003-01,2.894,
2003-04,2.787,
2003-07,2.501,
2003-10,2.655,
2004-01,2.611,
2004-04,2.622,
2004-07,2.543,
2004-10,2.599,
2005-01,2.595,
2005-04,2.603,
2005-07,2.599,
2005-10,2.628,
2006-01,2.649,
2006-04,2.666,
2006-07,2.693,
2006-10,2.822,
2007-01,2.915,
2007-04,2.851,
2007-07,2.858,
2007-10,2.859,
2008-01,2.844,
2008-04,2.866,
2008-07,2.889,
2008-10,2.918,
2009-01,2.966,
2009-04,2.971,
2009-07,3.022,
2009-10,3.016,
2010-01,3.038,
2010-04,3.349,
2010-07,3.326,
2010-10,3.308,
2011-01,3.290,
2011-04,3.292,
2011-07,3.349,
2011-10,3.291,
2012-01,3.244,
2012-04,3.246,
2012-07,3.228,
2012-10,3.043,
2013-01,3.015,
2013-04,3.022,
2013-07,3.031,
2013-10,3.001,
2014-01,3.002,
2014-04,3.033,
2014-07,2.975,
