"",BBK01.OELM09G,BBK01.OELM09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:16,
2002-01,0.019,
2002-04,0.020,
2002-07,0.020,
2002-10,0.019,
2003-01,0.019,
2003-04,0.021,
2003-07,0.020,
2003-10,0.022,
2004-01,0.018,
2004-04,0.014,
2004-07,0.013,
2004-10,0.013,
2005-01,0.018,
2005-04,0.019,
2005-07,0.021,
2005-10,0.020,
2006-01,0.015,
2006-04,0.016,
2006-07,0.014,
2006-10,0.013,
2007-01,0.020,
2007-04,0.026,
2007-07,0.024,
2007-10,0.024,
2008-01,0.019,
2008-04,0.012,
2008-07,0.008,
2008-10,0.004,
2009-01,0.012,
2009-04,0.022,
2009-07,0.049,
2009-10,0.068,
2010-01,0.067,
2010-04,0.062,
2010-07,0.040,
2010-10,0.036,
2011-01,0.029,
2011-04,0.029,
2011-07,0.029,
2011-10,0.027,
2012-01,0.022,
2012-04,0.023,
2012-07,0.028,
2012-10,0.040,
2013-01,0.044,
2013-04,0.053,
2013-07,0.051,
2013-10,0.052,
2014-01,0.044,
2014-04,0.040,
2014-07,0.033,
