"",BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:57,
1991-01,33.332,
1991-04,225.746,
1991-07,466.188,
1991-10,-29.710,
1992-01,-2.687,
1992-04,-35.185,
1992-07,636.124,
1992-10,-93.660,
1993-01,-117.015,
1993-04,473.333,
1993-07,395.398,
1993-10,234.221,
1994-01,-46.113,
1994-04,141.994,
1994-07,-66.884,
1994-10,268.919,
1995-01,-587.598,
1995-04,-387.595,
1995-07,-428.390,
1995-10,7.127,
1996-01,195.534,
1996-04,-544.481,
1996-07,621.676,
1996-10,-158.468,
1997-01,-526.935,
1997-04,-295.070,
1997-07,470.262,
1997-10,282.789,
1998-01,-177.817,
1998-04,-40.014,
1998-07,-97.335,
1998-10,-43.939,
1999-01,18.033,
1999-04,-427.100,
1999-07,490.246,
1999-10,-103.709,
2000-01,109.741,
2000-04,183.121,
2000-07,39.825,
2000-10,-54.126,
2001-01,16.355,
2001-04,253.209,
2001-07,-21.313,
2001-10,92.921,
2002-01,43.007,
2002-04,207.858,
2002-07,172.545,
2002-10,30.974,
2003-01,87.115,
2003-04,295.953,
2003-07,14.861,
2003-10,-127.920,
2004-01,135.453,
2004-04,20.201,
2004-07,132.213,
2004-10,75.983,
2005-01,597.284,
2005-04,-161.555,
2005-07,496.393,
2005-10,1386.109,
2006-01,-1808.864,
2006-04,-529.534,
2006-07,675.315,
2006-10,-790.571,
2007-01,105.436,
2007-04,311.681,
2007-07,-61.695,
2007-10,522.826,
2008-01,322.042,
2008-04,-50.123,
2008-07,-383.210,
2008-10,157.872,
2009-01,-662.451,
2009-04,-265.249,
2009-07,96.722,
2009-10,95.318,
2010-01,32.430,
2010-04,2183.302,
2010-07,-38.666,
2010-10,90.424,
2011-01,-241.782,
2011-04,779.971,
2011-07,1180.587,
2011-10,221.068,
2012-01,361.618,
2012-04,-122.427,
2012-07,689.002,
2012-10,533.758,
2013-01,-776.024,
2013-04,551.904,
2013-07,-355.083,
2013-10,-213.763,
2014-01,-38.608,Provisional value
2014-04,-102.081,Provisional value
2014-07,-35.333,Provisional value
2014-10,926.385,Provisional value
