"",BBK01.OEAA31L,BBK01.OEAA31L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:28,
2002-01,34.293,
2002-04,33.872,
2002-07,34.053,
2002-10,33.988,
2003-01,35.629,
2003-04,35.528,
2003-07,36.563,
2003-10,35.774,
2004-01,35.067,
2004-04,35.241,
2004-07,35.180,
2004-10,35.042,
2005-01,33.895,
2005-04,33.521,
2005-07,33.269,
2005-10,32.696,
2006-01,32.268,
2006-04,31.403,
2006-07,31.406,
2006-10,31.101,
2007-01,30.609,
2007-04,31.325,
2007-07,32.508,
2007-10,32.797,
2008-01,32.385,
2008-04,31.712,
2008-07,31.258,
2008-10,31.450,
2009-01,30.743,
2009-04,32.188,
2009-07,31.866,
2009-10,31.638,
2010-01,31.401,
2010-04,31.528,
2010-07,31.347,
2010-10,30.915,
2011-01,30.730,
2011-04,30.709,
2011-07,30.558,
2011-10,30.303,
2012-01,30.107,
2012-04,31.411,
2012-07,31.224,
2012-10,30.991,
2013-01,30.837,
2013-04,30.622,
2013-07,30.734,
2013-10,30.501,
2014-01,30.393,
2014-04,30.408,
2014-07,30.566,
