"",BBEX3.M.LRD.USD.CA.AC.A01,BBEX3.M.LRD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Liberia  / USD 1 = LRD ... (middle),
unit,LRD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:54,
2000-01,41.500,
2000-02,41.375,
2000-03,42.500,
2000-04,41.500,
2000-05,41.500,
2000-06,41.250,
2000-07,41.250,
2000-08,42.500,
2000-09,41.500,
2000-10,41.250,
2000-11,38.500,
2000-12,42.750,
2001-01,45.500,
2001-02,44.500,
2001-03,45.500,
2001-04,48.500,
2001-05,51.500,
2001-06,54.500,
2001-07,57.500,
2001-08,49.500,
2001-09,49.500,
2001-10,48.500,
2001-11,44.500,
2001-12,49.500,
2002-01,53.000,
2002-02,55.500,
2002-03,58.500,
2002-04,62.500,
2002-05,64.500,
2002-06,70.000,
2002-07,70.500,
2002-08,70.750,
2002-09,69.500,
2002-10,57.500,
2002-11,55.500,
2002-12,65.000,
2003-01,65.500,
2003-02,61.500,
2003-03,62.500,
2003-04,64.750,
2003-05,67.500,
2003-06,74.000,
2003-07,73.000,
2003-08,57.000,
2003-09,49.000,
2003-10,43.000,
2003-11,42.500,
2003-12,50.500,
2004-01,54.500,
2004-02,54.500,
2004-03,54.500,
2004-04,54.500,
2004-05,56.500,
2004-06,57.500,
2004-07,59.000,
2004-08,58.500,
2004-09,54.500,
2004-10,53.500,
2004-11,52.500,
2004-12,54.500,
2005-01,56.500,
2005-02,57.500,
2005-03,56.750,
2005-04,57.500,
2005-05,58.500,
2005-06,58.500,
2005-07,59.500,
2005-08,59.500,
2005-09,57.500,
2005-10,54.500,
2005-11,54.500,
2005-12,56.500,
2006-01,57.500,
2006-02,56.750,
2006-03,56.750,
2006-04,57.500,
2006-05,57.500,
2006-06,59.500,
2006-07,59.500,
2006-08,60.500,
2006-09,59.500,
2006-10,59.500,
2006-11,57.000,
2006-12,59.500,
2007-01,61.250,
2007-02,60.500,
2007-03,61.250,
2007-04,61.500,
2007-05,62.500,
2007-06,62.500,
2007-07,62.000,
2007-08,62.500,
2007-09,61.500,
2007-10,61.500,
2007-11,61.500,
2007-12,62.500,
2008-01,63.250,
2008-02,62.500,
2008-03,62.625,
2008-04,63.000,
2008-05,63.500,
2008-06,63.500,
2008-07,63.500,
2008-08,63.500,
2008-09,63.500,
2008-10,63.500,
2008-11,63.250,
2008-12,64.000,
2009-01,64.500,
2009-02,65.000,
2009-03,65.500,
2009-04,66.500,
2009-05,70.500,
2009-06,70.500,
2009-07,71.500,
2009-08,72.500,
2009-09,72.000,
2009-10,70.500,
2009-11,67.500,
2009-12,69.500,
2010-01,71.500,
2010-02,72.000,
2010-03,71.500,
2010-04,70.500,
2010-05,71.500,
2010-06,72.250,
2010-07,72.500,
2010-08,72.500,
2010-09,72.500,
2010-10,71.750,
2010-11,69.500,
2010-12,71.500,
2011-01,72.500,
2011-02,72.250,
2011-03,72.000,
2011-04,72.500,
2011-05,72.500,
2011-06,73.000,
2011-07,72.500,
2011-08,72.500,
2011-09,72.000,
2011-10,72.000,
2011-11,71.500,
2011-12,72.000,
2012-01,73.500,
2012-02,73.500,
2012-03,74.000,
2012-04,74.500,comment
2012-05,76.000,
2012-06,75.000,
2012-07,73.500,
2012-08,73.500,
2012-09,73.000,
2012-10,72.500,
2012-11,72.500,
2012-12,72.500,
2013-01,74.500,
2013-02,74.500,
2013-03,74.500,
2013-04,75.000,
2013-05,76.000,
2013-06,76.500,
2013-07,77.500,
2013-08,79.500,
2013-09,80.000,
2013-10,81.000,
2013-11,81.500,
2013-12,82.500,
2014-01,80.500,
2014-02,83.500,
2014-03,85.500,
2014-04,87.500,
2014-05,86.500,
2014-06,90.500,
2014-07,82.500,
2014-08,84.500,
2014-09,84.500,
2014-10,84.500,
2014-11,83.500,
2014-12,82.500,
2015-01,84.500,
"",General: From January to November 2000 and from January 2006 calculated on the basis of buying and selling rates.,
"","Source: Central Bank of Liberia, Monrovia",
"",Comment on 2012-04: Exchange rate as of 1 May 2012.,
