"",BBK01.OEAF25J,BBK01.OEAF25J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:52,
2002-01,0.256,
2002-04,0.253,
2002-07,0.251,
2002-10,0.240,
2003-01,0.235,
2003-04,0.236,
2003-07,0.238,
2003-10,0.245,
2004-01,0.250,
2004-04,0.254,
2004-07,0.247,
2004-10,0.237,
2005-01,0.240,
2005-04,0.240,
2005-07,0.240,
2005-10,0.233,
2006-01,0.228,
2006-04,0.226,
2006-07,0.247,
2006-10,0.240,
2007-01,0.230,
2007-04,0.230,
2007-07,0.228,
2007-10,0.226,
2008-01,0.220,
2008-04,0.222,
2008-07,0.214,
2008-10,0.203,
2009-01,0.208,
2009-04,0.213,
2009-07,0.201,
2009-10,0.208,
2010-01,0.243,
2010-04,0.208,
2010-07,0.206,
2010-10,0.218,
2011-01,0.209,
2011-04,0.201,
2011-07,0.197,
2011-10,0.183,
2012-01,0.172,
2012-04,0.169,
2012-07,0.141,
2012-10,0.135,
2013-01,0.133,
2013-04,0.126,
2013-07,0.126,
2013-10,0.123,
2014-01,0.119,
2014-04,0.117,
2014-07,0.115,
