"",BBSF2.M.1.T.00000.IMM01.I.F.UBS.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.UBS.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Real estate funds / Properties / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:51,
2009-09,615,
2009-10,564,
2009-11,574,
2009-12,198,
2010-01,344,
2010-02,337,
2010-03,305,
2010-04,250,
2010-05,220,
2010-06,498,
2010-07,497,
2010-08,507,
2010-09,507,
2010-10,518,
2010-11,511,
2010-12,484,
2011-01,491,
2011-02,495,
2011-03,497,
2011-04,500,
2011-05,503,
2011-06,505,
2011-07,515,
2011-08,224,
2011-09,227,
2011-10,232,
2011-11,238,
2011-12,255,
2012-01,261,
2012-02,261,
2012-03,301,
2012-04,303,
2012-05,305,
2012-06,295,
2012-07,535,
2012-08,538,
2012-09,366,
2012-10,370,
2012-11,378,
2012-12,481,
2013-01,769,
2013-02,782,
2013-03,775,
2013-04,868,
2013-05,805,
2013-06,816,
2013-07,712,
2013-08,663,
2013-09,669,
2013-10,659,
2013-11,649,
2013-12,610,
2014-01,628,
2014-02,631,
2014-03,254,
2014-04,255,
2014-05,256,
2014-06,271,
2014-07,171,
2014-08,171,
2014-09,171,
2014-10,171,
2014-11,246,
