"",BBSF2.M.1.T.00000.DAK01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:29,
2009-09,1597,
2009-10,1564,
2009-11,1618,
2009-12,1671,
2010-01,1540,
2010-02,1551,
2010-03,1647,
2010-04,1672,
2010-05,1629,
2010-06,1241,
2010-07,1234,
2010-08,1359,
2010-09,1388,
2010-10,1410,
2010-11,1443,
2010-12,1512,
2011-01,1476,
2011-02,1471,
2011-03,1440,
2011-04,1441,
2011-05,1432,
2011-06,1389,
2011-07,1381,
2011-08,1239,
2011-09,1203,
2011-10,1260,
2011-11,1237,
2011-12,1270,
2012-01,1325,
2012-02,1359,
2012-03,1376,
2012-04,1389,
2012-05,1349,
2012-06,1360,
2012-07,1450,
2012-08,1457,
2012-09,1485,
2012-10,1473,
2012-11,1489,
2012-12,1506,
2013-01,1533,
2013-02,1554,
2013-03,1591,
2013-04,1587,
2013-05,1613,
2013-06,1551,
2013-07,1596,
2013-08,1581,
2013-09,1534,
2013-10,1592,
2013-11,1611,
2013-12,1627,
2014-01,1591,
2014-02,1636,
2014-03,1637,
2014-04,1636,
2014-05,1682,
2014-06,1695,
2014-07,1697,
2014-08,1718,
2014-09,1726,
2014-10,1717,
2014-11,1771,
