"",BBK01.OEHO05N,BBK01.OEHO05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:24,
2002-01,0.373,
2002-04,0.263,
2002-07,0.314,
2002-10,1.754,
2003-01,0.379,
2003-04,0.230,
2003-07,0.271,
2003-10,1.464,
2004-01,0.298,
2004-04,0.191,
2004-07,0.219,
2004-10,1.213,
2005-01,0.276,
2005-04,0.188,
2005-07,0.250,
2005-10,1.093,
2006-01,0.264,
2006-04,0.166,
2006-07,0.207,
2006-10,1.150,
2007-01,0.267,
2007-04,0.185,
2007-07,0.224,
2007-10,1.161,
2008-01,0.260,
2008-04,0.179,
2008-07,0.253,
2008-10,1.211,
2009-01,0.256,
2009-04,0.178,
2009-07,0.230,
2009-10,1.034,
2010-01,0.228,
2010-04,0.162,
2010-07,0.218,
2010-10,0.926,
2011-01,0.237,
2011-04,0.158,
2011-07,0.213,
2011-10,0.839,
2012-01,0.232,
2012-04,0.156,
2012-07,0.195,
2012-10,0.743,
2013-01,0.222,
2013-04,0.144,
2013-07,0.142,
2013-10,0.574,
2014-01,0.168,
2014-04,0.131,
2014-07,0.128,
