"",BBK01.OEAA15T,BBK01.OEAA15T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:22,
2002-01,18.921,
2002-04,19.026,
2002-07,19.067,
2002-10,19.262,
2003-01,19.882,
2003-04,19.895,
2003-07,20.049,
2003-10,19.985,
2004-01,20.263,
2004-04,20.313,
2004-07,20.344,
2004-10,20.286,
2005-01,20.893,
2005-04,20.907,
2005-07,20.864,
2005-10,20.878,
2006-01,20.775,
2006-04,20.966,
2006-07,21.091,
2006-10,21.206,
2007-01,21.121,
2007-04,20.916,
2007-07,21.010,
2007-10,20.980,
2008-01,20.910,
2008-04,20.965,
2008-07,21.310,
2008-10,21.604,
2009-01,21.512,
2009-04,22.202,
2009-07,22.311,
2009-10,22.577,
2010-01,22.572,
2010-04,22.679,
2010-07,23.358,
2010-10,23.375,
2011-01,23.551,
2011-04,23.762,
2011-07,24.104,
2011-10,24.292,
2012-01,24.667,
2012-04,24.895,
2012-07,25.154,
2012-10,25.387,
2013-01,25.874,
2013-04,25.461,
2013-07,25.556,
2013-10,25.516,
2014-01,25.671,
2014-04,25.954,
2014-07,26.188,
