"",BBFB1.Q.N.DE.FR.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:15,
1991-01,1014.597,
1991-04,986.943,
1991-07,1026.573,
1991-10,1045.935,
1992-01,978.361,
1992-04,983.036,
1992-07,1086.071,
1992-10,1096.832,
1993-01,1359.093,
1993-04,951.542,
1993-07,1072.124,
1993-10,788.187,
1994-01,860.066,
1994-04,716.985,
1994-07,960.326,
1994-10,867.391,
1995-01,617.285,
1995-04,747.083,
1995-07,692.079,
1995-10,674.537,
1996-01,740.249,
1996-04,754.466,
1996-07,860.157,
1996-10,765.782,
1997-01,791.788,
1997-04,907.084,
1997-07,785.879,
1997-10,708.058,
1998-01,769.765,
1998-04,951.278,
1998-07,1033.014,
1998-10,1062.385,
1999-01,1102.379,
1999-04,1668.452,
1999-07,1588.833,
1999-10,1544.782,
2000-01,2060.713,
2000-04,2643.242,
2000-07,2250.443,
2000-10,2693.229,
2001-01,1907.068,
2001-04,2808.438,
2001-07,1903.320,
2001-10,1553.592,
2002-01,1796.062,
2002-04,2167.727,
2002-07,1825.000,
2002-10,1661.974,
2003-01,1763.286,
2003-04,1991.939,
2003-07,1785.467,
2003-10,1997.757,
2004-01,2628.191,
2004-04,3596.919,
2004-07,2737.310,
2004-10,2962.602,
2005-01,2484.564,
2005-04,3003.824,
2005-07,2495.987,
2005-10,2793.448,
2006-01,3235.225,
2006-04,4265.076,
2006-07,3279.350,
2006-10,3601.135,
2007-01,4630.497,
2007-04,5320.207,
2007-07,4105.900,
2007-10,4280.207,
2008-01,4112.113,
2008-04,4452.563,
2008-07,3174.301,
2008-10,3071.953,
2009-01,3079.550,
2009-04,3644.047,
2009-07,2932.003,
2009-10,3139.770,
2010-01,2909.491,
2010-04,3873.533,
2010-07,3419.484,
2010-10,3758.518,
2011-01,3697.918,
2011-04,4433.518,
2011-07,3798.578,
2011-10,3829.471,
2012-01,3733.244,
2012-04,4247.210,
2012-07,3611.030,
2012-10,3679.605,
2013-01,4040.164,
2013-04,4492.863,
2013-07,3797.996,
2013-10,3859.708,
2014-01,3663.886,Provisional value
2014-04,4400.598,Provisional value
2014-07,3623.194,Provisional value
