"",BBK01.QUA515,BBK01.QUA515_FLAGS
"","All foreign subsidiaries: Claims on non-residents, total / Slovakia / Euro",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:21,
2005-12,1.258,
2006-01,1.106,
2006-02,1.106,
2006-03,1.109,
2006-04,1.115,
2006-05,1.176,
2006-06,1.151,
2006-07,0.999,
2006-08,0.942,
2006-09,0.985,
2006-10,1.151,
2006-11,1.078,
2006-12,1.149,
2007-01,0.050,
2007-02,0.050,
2007-03,0.055,
2007-04,0.058,
2007-05,0.067,
2007-06,0.070,
2007-07,0.070,
2007-08,0.071,
2007-09,0.106,
2007-10,0.125,
2007-11,0.119,
2007-12,0.111,
2008-01,0.114,
2008-02,0.117,
2008-03,0.126,
2008-04,0.129,
2008-05,0.141,
2008-06,0.149,
2008-07,0.150,
2008-08,0.155,
2008-09,0.153,
2008-10,0.161,
2008-11,0.156,
2008-12,0.182,
2009-01,0.261,
2009-02,0.266,
2009-03,0.286,
2009-04,0.287,
2009-05,0.289,
2009-06,0.286,
2009-07,0.290,
2009-08,0.289,
2009-09,0.290,
2009-10,0.280,
2009-11,0.283,
2009-12,0.192,
2010-01,0.194,
2010-02,0.195,
2010-03,0.197,
2010-04,0.193,
2010-05,0.198,
2010-06,0.200,
2010-07,0.201,
2010-08,0.202,
2010-09,0.201,
2010-10,0.203,
2010-11,0.191,
2010-12,0.188,
2011-01,0.186,
2011-02,0.158,
2011-03,0.158,
2011-04,0.175,
2011-05,0.175,
2011-06,0.172,
2011-07,0.170,
2011-08,0.170,
2011-09,0.163,
2011-10,0.161,
2011-11,0.160,
2011-12,0.157,
2012-01,0.156,
2012-02,0.156,
2012-03,0.157,
2012-04,0.154,
2012-05,0.132,
2012-06,0.132,
2012-07,0.131,
2012-08,0.138,
2012-09,0.139,
2012-10,0.133,
2012-11,0.132,
2012-12,0.135,
2013-01,0.136,
2013-02,0.154,
2013-03,0.155,
2013-04,0.161,
2013-05,0.164,
2013-06,0.164,
2013-07,0.167,
2013-08,0.170,
2013-09,0.173,
2013-10,0.174,
2013-11,0.171,
2013-12,0.172,
2014-01,0.191,
2014-02,0.194,
2014-03,0.197,
2014-04,0.201,
2014-05,0.181,
2014-06,0.186,
2014-07,0.192,
2014-08,0.197,
2014-09,0.191,
2014-10,0.198,
2014-11,0.203,
