"",BBK01.OELL01H,BBK01.OELL01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:38,
2002-01,66.515,
2002-04,66.380,
2002-07,66.094,
2002-10,67.860,
2003-01,68.408,
2003-04,68.166,
2003-07,67.904,
2003-10,69.412,
2004-01,69.484,
2004-04,69.476,
2004-07,69.134,
2004-10,70.849,
2005-01,70.888,
2005-04,70.737,
2005-07,70.537,
2005-10,71.904,
2006-01,72.382,
2006-04,72.218,
2006-07,71.827,
2006-10,72.653,
2007-01,72.901,
2007-04,73.170,
2007-07,73.514,
2007-10,75.295,
2008-01,75.126,
2008-04,75.151,
2008-07,74.569,
2008-10,78.749,
2009-01,79.093,
2009-04,79.651,
2009-07,79.621,
2009-10,81.614,
2010-01,82.916,
2010-04,83.720,
2010-07,83.820,
2010-10,85.551,
2011-01,85.948,
2011-04,86.362,
2011-07,86.361,
2011-10,88.282,
2012-01,88.498,
2012-04,88.957,
2012-07,88.958,
2012-10,90.661,
2013-01,90.719,
2013-04,90.719,
2013-07,90.903,
2013-10,92.976,
2014-01,93.226,
2014-04,93.984,
2014-07,94.623,
