"",BBK01.OEAE21I,BBK01.OEAE21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:26,
2002-01,0.240,
2002-04,0.250,
2002-07,0.221,
2002-10,0.203,
2003-01,0.063,
2003-04,0.057,
2003-07,0.048,
2003-10,0.035,
2004-01,0.034,
2004-04,0.033,
2004-07,0.047,
2004-10,0.054,
2005-01,0.058,
2005-04,0.047,
2005-07,0.046,
2005-10,0.039,
2006-01,0.028,
2006-04,0.025,
2006-07,0.041,
2006-10,0.052,
2007-01,0.044,
2007-04,0.035,
2007-07,0.031,
2007-10,0.022,
2008-01,0.045,
2008-04,0.034,
2008-07,0.053,
2008-10,0.113,
2009-01,0.094,
2009-04,0.125,
2009-07,0.172,
2009-10,0.173,
2010-01,0.364,
2010-04,0.122,
2010-07,0.128,
2010-10,0.141,
2011-01,0.196,
2011-04,0.198,
2011-07,0.224,
2011-10,0.200,
2012-01,0.196,
2012-04,0.171,
2012-07,0.176,
2012-10,0.127,
2013-01,0.128,
2013-04,0.126,
2013-07,0.120,
2013-10,0.118,
2014-01,0.156,
2014-04,0.203,
2014-07,0.192,
