"",BBK01.OEBL04L,BBK01.OEBL04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:21,
2002-01,3.724,
2002-04,3.357,
2002-07,3.263,
2002-10,3.338,
2003-01,3.090,
2003-04,2.940,
2003-07,2.868,
2003-10,2.760,
2004-01,2.794,
2004-04,2.777,
2004-07,2.622,
2004-10,3.198,
2005-01,2.746,
2005-04,2.642,
2005-07,2.785,
2005-10,2.990,
2006-01,4.173,
2006-04,4.500,
2006-07,8.629,
2006-10,9.941,
2007-01,12.087,
2007-04,13.712,
2007-07,16.386,
2007-10,19.009,
2008-01,21.178,
2008-04,24.370,
2008-07,26.384,
2008-10,25.650,
2009-01,22.541,
2009-04,23.797,
2009-07,20.795,
2009-10,17.744,
2010-01,18.486,
2010-04,17.897,
2010-07,18.150,
2010-10,18.926,
2011-01,17.974,
2011-04,18.617,
2011-07,19.756,
2011-10,20.848,
2012-01,22.888,
2012-04,25.275,
2012-07,26.473,
2012-10,25.479,
2013-01,25.395,
2013-04,24.596,
2013-07,22.153,
2013-10,21.279,
2014-01,21.739,
2014-04,22.669,
2014-07,22.798,
