"",BBSF2.M.1.T.00000.TOT01.I.F.INV.CH.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.CH.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / Switzerland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:20,
2011-03,540,
2011-04,554,
2011-05,562,
2011-06,550,
2011-07,595,
2011-08,511,
2011-09,488,
2011-10,526,
2011-11,524,
2011-12,477,
2012-01,548,
2012-02,556,
2012-03,513,
2012-04,528,
2012-05,523,
2012-06,485,
2012-07,557,
2012-08,594,
2012-09,516,
2012-10,568,
2012-11,564,
2012-12,522,
2013-01,521,
2013-02,484,
2013-03,494,
2013-04,437,
2013-05,370,
2013-06,337,
2013-07,360,
2013-08,374,
2013-09,349,
2013-10,349,
2013-11,364,
2013-12,347,
2014-01,367,
2014-02,395,
2014-03,381,
2014-04,324,
2014-05,327,
2014-06,329,
2014-07,328,
2014-08,344,
2014-09,314,
2014-10,296,
2014-11,287,
