"",BBK01.OEBM02S,BBK01.OEBM02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:26,
2002-01,0.125,
2002-04,0.132,
2002-07,0.142,
2002-10,0.158,
2003-01,0.149,
2003-04,0.147,
2003-07,0.173,
2003-10,0.165,
2004-01,0.162,
2004-04,0.174,
2004-07,0.177,
2004-10,0.184,
2005-01,0.193,
2005-04,0.206,
2005-07,0.243,
2005-10,0.233,
2006-01,0.217,
2006-04,0.214,
2006-07,0.207,
2006-10,0.204,
2007-01,0.211,
2007-04,0.189,
2007-07,0.170,
2007-10,0.169,
2008-01,0.158,
2008-04,0.150,
2008-07,0.138,
2008-10,0.253,
2009-01,0.554,
2009-04,0.826,
2009-07,0.735,
2009-10,0.773,
2010-01,0.770,
2010-04,0.820,
2010-07,0.820,
2010-10,0.811,
2011-01,0.784,
2011-04,0.751,
2011-07,0.738,
2011-10,0.602,
2012-01,0.498,
2012-04,0.313,
2012-07,0.321,
2012-10,0.303,
2013-01,0.304,
2013-04,0.338,
2013-07,0.338,
2013-10,0.442,
2014-01,0.358,
2014-04,0.306,
2014-07,0.286,
