"",BBK01.OEHJ01V,BBK01.OEHJ01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:18,
2002-01,1.674,
2002-04,1.731,
2002-07,1.741,
2002-10,1.951,
2003-01,1.740,
2003-04,1.759,
2003-07,1.796,
2003-10,2.037,
2004-01,1.780,
2004-04,1.789,
2004-07,1.817,
2004-10,2.075,
2005-01,1.818,
2005-04,1.856,
2005-07,1.905,
2005-10,2.143,
2006-01,1.956,
2006-04,1.848,
2006-07,1.943,
2006-10,2.026,
2007-01,1.970,
2007-04,2.062,
2007-07,2.133,
2007-10,2.208,
2008-01,2.184,
2008-04,2.222,
2008-07,2.248,
2008-10,2.688,
2009-01,2.694,
2009-04,2.529,
2009-07,2.639,
2009-10,2.858,
2010-01,2.672,
2010-04,2.674,
2010-07,2.830,
2010-10,2.979,
2011-01,2.785,
2011-04,2.722,
2011-07,2.706,
2011-10,2.916,
2012-01,2.823,
2012-04,2.847,
2012-07,2.921,
2012-10,3.185,
2013-01,3.073,
2013-04,3.101,
2013-07,3.243,
2013-10,3.313,
2014-01,3.355,
2014-04,3.353,
2014-07,3.428,
