"",BBK01.OELB03J,BBK01.OELB03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:38,
2002-01,0.097,
2002-04,0.098,
2002-07,0.097,
2002-10,0.104,
2003-01,0.099,
2003-04,0.097,
2003-07,0.096,
2003-10,0.088,
2004-01,0.084,
2004-04,0.081,
2004-07,0.074,
2004-10,0.084,
2005-01,0.079,
2005-04,0.075,
2005-07,0.072,
2005-10,0.070,
2006-01,0.066,
2006-04,0.067,
2006-07,0.068,
2006-10,0.064,
2007-01,0.059,
2007-04,0.060,
2007-07,0.060,
2007-10,0.055,
2008-01,0.051,
2008-04,0.054,
2008-07,0.057,
2008-10,0.056,
2009-01,0.054,
2009-04,0.057,
2009-07,0.059,
2009-10,0.055,
2010-01,0.057,
2010-04,0.054,
2010-07,0.053,
2010-10,0.054,
2011-01,0.056,
2011-04,0.052,
2011-07,0.054,
2011-10,0.055,
2012-01,0.060,
2012-04,0.099,
2012-07,0.093,
2012-10,0.091,
2013-01,0.090,
2013-04,0.096,
2013-07,0.088,
2013-10,0.101,
2014-01,0.101,
2014-04,0.100,
2014-07,0.100,
