"",BBFB1.Q.N.DE.IT.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:56,
1991-01,-254.778,
1991-04,-264.671,
1991-07,-274.786,
1991-10,-252.348,
1992-01,-259.597,
1992-04,-238.444,
1992-07,-268.356,
1992-10,-371.621,
1993-01,-249.442,
1993-04,-274.294,
1993-07,-316.429,
1993-10,-322.847,
1994-01,-301.058,
1994-04,-295.686,
1994-07,-289.653,
1994-10,-288.844,
1995-01,-301.006,
1995-04,-285.144,
1995-07,-299.987,
1995-10,-298.655,
1996-01,-322.228,
1996-04,-302.370,
1996-07,-317.196,
1996-10,-313.910,
1997-01,-284.693,
1997-04,-288.094,
1997-07,-290.556,
1997-10,-250.655,
1998-01,-273.730,
1998-04,-270.996,
1998-07,-313.058,
1998-10,-325.272,
1999-01,-257.061,
1999-04,-250.625,
1999-07,-304.153,
1999-10,-247.024,
2000-01,-258.265,
2000-04,-271.006,
2000-07,-301.429,
2000-10,-261.730,
2001-01,-254.103,
2001-04,-281.029,
2001-07,-288.591,
2001-10,-274.962,
2002-01,-265.467,
2002-04,-291.269,
2002-07,-286.007,
2002-10,-282.438,
2003-01,-305.453,
2003-04,-323.304,
2003-07,-310.393,
2003-10,-288.092,
2004-01,-301.444,
2004-04,-347.539,
2004-07,-290.606,
2004-10,-302.525,
2005-01,-269.569,
2005-04,-379.906,
2005-07,-281.927,
2005-10,-311.766,
2006-01,-305.774,
2006-04,-295.827,
2006-07,-282.044,
2006-10,-301.648,
2007-01,-320.326,
2007-04,-269.014,
2007-07,-276.286,
2007-10,-283.802,
2008-01,-241.403,
2008-04,-330.487,
2008-07,-203.314,
2008-10,-345.765,
2009-01,-323.050,
2009-04,-337.918,
2009-07,-365.511,
2009-10,-422.383,
2010-01,-375.658,
2010-04,-424.046,
2010-07,-481.790,
2010-10,-508.725,
2011-01,-352.044,
2011-04,-344.526,
2011-07,-435.976,
2011-10,-381.931,
2012-01,-396.687,
2012-04,-330.271,
2012-07,-367.869,
2012-10,-379.817,
2013-01,-295.357,
2013-04,-369.522,
2013-07,-363.738,
2013-10,-596.967,
2014-01,-327.810,Provisional value
2014-04,-364.334,Provisional value
2014-07,-353.132,Provisional value
