"",BBFN1.M.DE.N.1.L.A1.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.A1.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:22,
1995-01,7.436,
1995-02,7.278,
1995-03,7.662,
1995-04,7.645,
1995-05,7.718,
1995-06,7.783,
1995-07,7.616,
1995-08,7.543,
1995-09,7.714,
1995-10,7.918,
1995-11,8.100,
1995-12,8.342,
1996-01,8.397,
1996-02,8.151,
1996-03,8.120,
1996-04,8.379,
1996-05,8.586,
1996-06,8.219,
1996-07,8.182,
1996-08,7.828,
1996-09,7.916,
1996-10,8.040,
1996-11,8.006,
1996-12,9.141,
1997-01,8.913,
1997-02,8.819,
1997-03,9.119,
1997-04,9.633,
1997-05,8.833,
1997-06,9.131,
1997-07,8.998,
1997-08,8.913,
1997-09,8.958,
1997-10,8.938,
1997-11,9.224,
1997-12,10.123,
1998-01,9.793,
1998-02,9.834,
1998-03,10.260,
1998-04,10.278,
1998-05,10.160,
1998-06,10.358,
1998-07,9.662,
1998-08,9.661,
1998-09,10.266,
1998-10,10.122,
1998-11,9.859,
1998-12,9.949,
1999-01,9.852,
1999-02,9.965,
1999-03,10.287,
1999-04,10.245,
1999-05,9.906,
1999-06,10.268,
1999-07,9.995,
1999-08,10.093,
1999-09,9.652,
1999-10,9.788,
1999-11,10.333,
1999-12,10.853,
2000-01,10.953,
2000-02,10.740,
2000-03,11.331,
2000-04,11.225,
2000-05,11.863,
2000-06,11.947,
2000-07,12.652,
2000-08,12.559,
2000-09,12.739,
2000-10,13.192,
2000-11,13.889,
2000-12,13.585,
2001-01,13.012,
2001-02,13.090,
2001-03,13.681,
2001-04,13.571,
2001-05,13.574,
2001-06,14.408,
2001-07,13.481,
2001-08,13.710,
2001-09,13.968,
2001-10,14.088,
2001-11,14.121,
2001-12,15.522,
2002-01,14.093,
2002-02,13.825,
2002-03,14.289,
2002-04,13.368,
2002-05,13.575,
2002-06,13.500,
2002-07,13.543,
2002-08,13.186,
2002-09,13.581,
2002-10,13.375,
2002-11,13.463,
2002-12,14.117,
2003-01,13.328,
2003-02,13.193,
2003-03,13.893,
2003-04,13.540,
2003-05,12.564,
2003-06,12.803,
2003-07,12.605,
2003-08,12.586,
2003-09,12.858,
2003-10,13.151,
2003-11,12.606,
2003-12,12.877,
2004-01,11.747,
2004-02,11.679,
2004-03,12.785,
2004-04,12.519,
2004-05,11.837,
2004-06,12.152,
2004-07,11.905,
2004-08,11.578,
2004-09,12.063,
2004-10,11.534,
2004-11,11.228,
2004-12,11.960,
2005-01,10.717,
2005-02,10.832,
2005-03,11.751,
2005-04,11.236,
2005-05,11.651,
2005-06,12.153,
2005-07,11.791,
2005-08,12.084,
2005-09,12.277,
2005-10,12.169,
2005-11,13.351,
2005-12,13.347,
2006-01,12.495,
2006-02,12.385,
2006-03,13.212,
2006-04,12.676,
2006-05,12.967,
2006-06,13.693,
2006-07,13.147,
2006-08,13.301,
2006-09,14.066,
2006-10,14.365,
2006-11,13.932,
2006-12,14.410,
2007-01,14.074,
2007-02,14.006,
2007-03,15.005,
2007-04,14.724,
2007-05,14.619,
2007-06,15.790,
2007-07,15.523,
2007-08,15.810,
2007-09,16.078,
2007-10,16.562,
2007-11,16.739,
2007-12,17.051,
2008-01,16.024,
2008-02,17.002,
2008-03,17.083,
2008-04,17.170,
2008-05,17.499,
2008-06,17.565,
2008-07,17.584,
2008-08,17.401,
2008-09,17.544,
2008-10,17.839,
2008-11,17.649,
2008-12,18.191,
2009-01,16.372,
2009-02,16.790,
2009-03,16.886,
2009-04,16.648,
2009-05,16.506,
2009-06,17.125,
2009-07,16.547,
2009-08,17.106,
2009-09,16.992,
2009-10,16.712,
2009-11,16.631,
2009-12,16.835,
2010-01,16.796,
2010-02,16.870,
2010-03,17.670,
2010-04,17.270,
2010-05,18.153,
2010-06,18.622,
2010-07,18.069,
2010-08,17.945,
2010-09,18.120,
2010-10,17.608,
2010-11,17.950,
2010-12,18.643,
2011-01,18.038,
2011-02,18.105,
2011-03,17.820,
2011-04,18.267,
2011-05,17.259,
2011-06,17.291,
2011-07,16.669,
2011-08,16.637,
2011-09,17.656,
2011-10,17.230,
2011-11,16.935,
2011-12,18.970,
2012-01,17.777,
2012-02,17.960,
2012-03,17.948,
2012-04,17.967,
2012-05,17.684,
2012-06,18.820,
2012-07,17.949,
2012-08,18.078,
2012-09,19.242,
2012-10,18.856,
2012-11,19.967,
2012-12,19.885,
2013-01,19.037,
2013-02,19.101,
2013-03,19.266,
2013-04,18.932,
2013-05,18.520,
2013-06,19.196,
2013-07,18.330,
2013-08,17.999,
2013-09,19.156,
2013-10,19.112,
2013-11,19.296,
2013-12,20.093,
2014-01,18.659,
2014-02,18.964,
2014-03,19.296,
2014-04,19.156,
2014-05,18.973,
2014-06,19.274,
2014-07,19.144,
2014-08,19.613,
2014-09,20.328,
2014-10,19.586,
2014-11,19.281,
2014-12,20.718,
"",General: Up to December including Niederl.Antillen,
