"",BBK01.OEAC05T,BBK01.OEAC05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:02,
2002-01,1.208,
2002-04,1.188,
2002-07,1.200,
2002-10,1.170,
2003-01,1.125,
2003-04,1.104,
2003-07,1.111,
2003-10,1.111,
2004-01,1.056,
2004-04,1.036,
2004-07,1.053,
2004-10,1.006,
2005-01,1.002,
2005-04,0.952,
2005-07,0.953,
2005-10,0.906,
2006-01,0.896,
2006-04,0.871,
2006-07,0.893,
2006-10,0.863,
2007-01,0.850,
2007-04,0.825,
2007-07,0.880,
2007-10,0.863,
2008-01,0.830,
2008-04,0.790,
2008-07,0.838,
2008-10,0.818,
2009-01,0.784,
2009-04,0.771,
2009-07,0.748,
2009-10,0.698,
2010-01,0.723,
2010-04,0.712,
2010-07,0.732,
2010-10,0.708,
2011-01,0.712,
2011-04,0.707,
2011-07,0.695,
2011-10,0.693,
2012-01,0.703,
2012-04,0.737,
2012-07,0.744,
2012-10,0.736,
2013-01,0.744,
2013-04,0.729,
2013-07,0.742,
2013-10,0.718,
2014-01,0.718,
2014-04,0.703,
2014-07,0.726,
