"",BBK01.OEXK01P,BBK01.OEXK01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:59,
2002-01,0.035,
2002-04,0.035,
2002-07,0.035,
2002-10,0.034,
2003-01,0.037,
2003-04,0.030,
2003-07,0.027,
2003-10,0.030,
2004-01,0.034,
2004-04,0.034,
2004-07,0.036,
2004-10,0.035,
2005-01,0.035,
2005-04,0.034,
2005-07,0.038,
2005-10,0.038,
2006-01,0.042,
2006-04,0.043,
2006-07,0.039,
2006-10,0.038,
2007-01,0.036,
2007-04,0.036,
2007-07,0.036,
2007-10,0.037,
2008-01,0.038,
2008-04,0.038,
2008-07,0.037,
2008-10,0.038,
2009-01,0.035,
2009-04,0.040,
2009-07,0.043,
2009-10,0.042,
2010-01,0.045,
2010-04,0.046,
2010-07,0.047,
2010-10,0.046,
2011-01,0.050,
2011-04,0.056,
2011-07,0.057,
2011-10,0.066,
2012-01,0.069,
2012-04,0.067,
2012-07,0.071,
2012-10,0.066,
2013-01,0.086,
2013-04,0.090,
2013-07,0.092,
2013-10,0.090,
2014-01,0.095,
2014-04,0.084,
2014-07,0.077,
