"",BBDA1.M.DE.Y.IM.S.GP09IS03.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS03.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Capital goods / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:36,
2008-01,19.70,
2008-02,19.34,
2008-03,19.45,
2008-04,19.09,
2008-05,19.08,
2008-06,17.93,
2008-07,19.38,
2008-08,19.38,
2008-09,18.86,
2008-10,17.92,
2008-11,18.28,
2008-12,18.63,
2009-01,16.90,
2009-02,17.36,
2009-03,17.43,
2009-04,17.07,
2009-05,16.28,
2009-06,16.30,
2009-07,16.04,
2009-08,16.80,
2009-09,17.36,
2009-10,16.74,
2009-11,15.60,
2009-12,16.68,
2010-01,16.76,
2010-02,16.74,
2010-03,19.03,
2010-04,17.88,
2010-05,19.69,
2010-06,20.58,
2010-07,21.00,
2010-08,19.95,
2010-09,20.50,
2010-10,19.59,
2010-11,21.32,
2010-12,20.46,
2011-01,20.34,
2011-02,21.07,
2011-03,20.85,
2011-04,20.74,
2011-05,21.46,
2011-06,21.77,
2011-07,21.05,
2011-08,20.64,
2011-09,21.96,
2011-10,22.20,
2011-11,21.49,
2011-12,21.28,
2012-01,21.08,
2012-02,21.47,
2012-03,21.02,
2012-04,21.65,
2012-05,22.04,
2012-06,21.21,
2012-07,21.89,
2012-08,22.46,
2012-09,21.27,
2012-10,21.07,
2012-11,21.62,
2012-12,20.61,
2013-01,21.50,
2013-02,20.30,
2013-03,21.37,
2013-04,21.43,
2013-05,21.70,
2013-06,21.13,
2013-07,21.26,
2013-08,21.01,
2013-09,20.72,
2013-10,21.87,
2013-11,21.63,
2013-12,21.18,
2014-01,22.36,
2014-02,23.00,
2014-03,23.70,
2014-04,22.97,
2014-05,22.07,
2014-06,23.94,
2014-07,22.67,
2014-08,21.75,
2014-09,24.35,
2014-10,22.63,
2014-11,22.96,
2014-12,23.57,
