"",BBK01.OEAI04U,BBK01.OEAI04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:28,
2002-01,2.960,
2002-04,2.808,
2002-07,2.756,
2002-10,2.683,
2003-01,2.668,
2003-04,2.528,
2003-07,2.529,
2003-10,2.471,
2004-01,2.499,
2004-04,2.259,
2004-07,2.270,
2004-10,2.263,
2005-01,2.164,
2005-04,2.177,
2005-07,2.257,
2005-10,2.265,
2006-01,2.427,
2006-04,2.440,
2006-07,2.582,
2006-10,2.719,
2007-01,3.044,
2007-04,3.172,
2007-07,3.459,
2007-10,3.623,
2008-01,3.889,
2008-04,4.092,
2008-07,4.374,
2008-10,3.991,
2009-01,3.268,
2009-04,2.956,
2009-07,2.353,
2009-10,2.058,
2010-01,1.859,
2010-04,1.792,
2010-07,1.699,
2010-10,1.720,
2011-01,1.908,
2011-04,2.084,
2011-07,2.141,
2011-10,2.549,
2012-01,2.865,
2012-04,2.762,
2012-07,2.638,
2012-10,2.377,
2013-01,2.163,
2013-04,2.132,
2013-07,2.162,
2013-10,1.964,
2014-01,2.227,
2014-04,2.176,
2014-07,1.849,
