"",BBK01.OEBO04O,BBK01.OEBO04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:31,
2002-01,-0.339,
2002-04,-0.287,
2002-07,-0.085,
2002-10,-0.155,
2003-01,-0.369,
2003-04,0.083,
2003-07,0.003,
2003-10,-0.107,
2004-01,-0.318,
2004-04,-0.212,
2004-07,0.118,
2004-10,0.023,
2005-01,0.021,
2005-04,-0.021,
2005-07,-0.110,
2005-10,-0.062,
2006-01,-0.069,
2006-04,-0.051,
2006-07,-0.095,
2006-10,-0.046,
2007-01,0.175,
2007-04,0.030,
2007-07,-0.004,
2007-10,0.073,
2008-01,0.046,
2008-04,0.056,
2008-07,-0.051,
2008-10,0.289,
2009-01,-,Nothing exists
2009-04,0.122,
2009-07,0.186,
2009-10,-0.133,
2010-01,-0.110,
2010-04,-0.085,
2010-07,-0.009,
2010-10,0.186,
2011-01,0.088,
2011-04,-0.074,
2011-07,-0.011,
2011-10,-0.063,
2012-01,0.133,
2012-04,-0.066,
2012-07,-0.060,
2012-10,-0.079,
2013-01,-0.188,
2013-04,-0.122,
2013-07,-0.125,
2013-10,-0.067,
2014-01,-0.076,
2014-04,-0.071,
2014-07,0.168,
