"",BBK01.OEAB07Q,BBK01.OEAB07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:07,
2002-01,7.550,
2002-04,7.598,
2002-07,7.562,
2002-10,7.286,
2003-01,7.154,
2003-04,7.209,
2003-07,7.075,
2003-10,7.117,
2004-01,6.569,
2004-04,6.006,
2004-07,5.689,
2004-10,5.592,
2005-01,5.451,
2005-04,5.410,
2005-07,5.402,
2005-10,5.320,
2006-01,5.171,
2006-04,5.042,
2006-07,5.046,
2006-10,5.422,
2007-01,5.666,
2007-04,5.610,
2007-07,5.812,
2007-10,5.456,
2008-01,5.049,
2008-04,5.012,
2008-07,5.040,
2008-10,5.061,
2009-01,4.891,
2009-04,5.265,
2009-07,5.452,
2009-10,6.480,
2010-01,6.217,
2010-04,5.701,
2010-07,4.890,
2010-10,4.607,
2011-01,4.789,
2011-04,4.540,
2011-07,3.528,
2011-10,3.503,
2012-01,3.500,
2012-04,3.544,
2012-07,3.450,
2012-10,3.981,
2013-01,3.817,
2013-04,3.703,
2013-07,3.594,
2013-10,4.085,
2014-01,3.954,
2014-04,4.180,
2014-07,4.227,
