"",BBK01.OEAE26M,BBK01.OEAE26M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:29,
2002-01,1.372,
2002-04,1.384,
2002-07,1.356,
2002-10,1.420,
2003-01,1.419,
2003-04,1.470,
2003-07,1.424,
2003-10,1.433,
2004-01,1.356,
2004-04,1.456,
2004-07,1.445,
2004-10,1.670,
2005-01,1.568,
2005-04,1.568,
2005-07,1.709,
2005-10,1.690,
2006-01,1.617,
2006-04,1.482,
2006-07,1.334,
2006-10,1.353,
2007-01,1.310,
2007-04,1.200,
2007-07,1.251,
2007-10,1.301,
2008-01,1.191,
2008-04,1.124,
2008-07,1.111,
2008-10,1.156,
2009-01,1.121,
2009-04,1.089,
2009-07,1.050,
2009-10,1.168,
2010-01,0.314,
2010-04,0.366,
2010-07,0.362,
2010-10,0.354,
2011-01,0.330,
2011-04,0.265,
2011-07,0.276,
2011-10,0.287,
2012-01,0.289,
2012-04,0.324,
2012-07,0.333,
2012-10,0.346,
2013-01,0.323,
2013-04,0.302,
2013-07,0.255,
2013-10,0.275,
2014-01,0.292,
2014-04,0.277,
2014-07,0.280,
