"",BBK01.TQ7129K,BBK01.TQ7129K_FLAGS
"",Deposit takers - Geographical distribution of loans - Middle East                                        FSI-S290,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2012-04-23 08:15:28,
2005-10,13212,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,15847,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,17636,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,18547,
2009-01,18005,
2009-04,16322,
2009-07,13813,
2009-10,13714,
