"",BBK01.OEAD06N,BBK01.OEAD06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:25,
2002-01,5.221,
2002-04,5.024,
2002-07,5.083,
2002-10,4.871,
2003-01,4.757,
2003-04,4.821,
2003-07,4.832,
2003-10,4.644,
2004-01,4.495,
2004-04,4.570,
2004-07,4.369,
2004-10,4.238,
2005-01,4.369,
2005-04,4.372,
2005-07,4.261,
2005-10,3.978,
2006-01,4.202,
2006-04,4.212,
2006-07,4.749,
2006-10,4.313,
2007-01,4.285,
2007-04,4.352,
2007-07,4.232,
2007-10,4.817,
2008-01,5.806,
2008-04,6.090,
2008-07,6.158,
2008-10,6.582,
2009-01,5.810,
2009-04,6.780,
2009-07,6.048,
2009-10,5.970,
2010-01,5.600,
2010-04,5.482,
2010-07,5.474,
2010-10,5.149,
2011-01,5.361,
2011-04,5.419,
2011-07,5.357,
2011-10,5.252,
2012-01,5.496,
2012-04,5.597,
2012-07,5.563,
2012-10,5.390,
2013-01,5.509,
2013-04,5.449,
2013-07,5.477,
2013-10,5.299,
2014-01,5.949,
2014-04,6.094,
2014-07,6.126,
