"",BBK01.OEAH18R,BBK01.OEAH18R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:39,
2002-01,1.755,
2002-04,1.674,
2002-07,1.649,
2002-10,1.655,
2003-01,1.441,
2003-04,1.390,
2003-07,1.363,
2003-10,1.348,
2004-01,1.320,
2004-04,1.244,
2004-07,1.205,
2004-10,1.236,
2005-01,1.192,
2005-04,1.075,
2005-07,1.182,
2005-10,1.093,
2006-01,1.117,
2006-04,1.188,
2006-07,1.210,
2006-10,1.206,
2007-01,1.308,
2007-04,1.484,
2007-07,1.563,
2007-10,1.632,
2008-01,1.898,
2008-04,1.944,
2008-07,2.060,
2008-10,2.003,
2009-01,1.435,
2009-04,1.208,
2009-07,1.025,
2009-10,0.882,
2010-01,0.826,
2010-04,0.742,
2010-07,0.736,
2010-10,0.735,
2011-01,0.846,
2011-04,0.845,
2011-07,0.881,
2011-10,1.488,
2012-01,1.623,
2012-04,1.667,
2012-07,1.744,
2012-10,1.734,
2013-01,1.681,
2013-04,1.745,
2013-07,1.742,
2013-10,1.538,
2014-01,1.624,
2014-04,1.575,
2014-07,1.309,
