"",BBK01.OEYK01G,BBK01.OEYK01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:43,
2002-01,0.997,
2002-04,0.941,
2002-07,0.944,
2002-10,0.961,
2003-01,1.192,
2003-04,0.992,
2003-07,0.888,
2003-10,0.862,
2004-01,1.065,
2004-04,0.874,
2004-07,0.872,
2004-10,0.931,
2005-01,1.084,
2005-04,0.898,
2005-07,1.387,
2005-10,1.409,
2006-01,1.643,
2006-04,1.423,
2006-07,1.507,
2006-10,1.567,
2007-01,1.894,
2007-04,1.852,
2007-07,1.952,
2007-10,2.280,
2008-01,2.589,
2008-04,2.535,
2008-07,2.499,
2008-10,2.714,
2009-01,2.562,
2009-04,2.581,
2009-07,2.598,
2009-10,2.460,
2010-01,2.466,
2010-04,2.403,
2010-07,2.408,
2010-10,2.510,
2011-01,2.490,
2011-04,2.483,
2011-07,2.488,
2011-10,2.475,
2012-01,2.469,
2012-04,2.383,
2012-07,2.463,
2012-10,2.508,
2013-01,2.513,
2013-04,2.507,
2013-07,2.489,
2013-10,2.676,
2014-01,2.494,
2014-04,2.529,
2014-07,2.552,
