"",BBFB1.Q.N.DE.RU.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:34,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-67.508,
1992-07,-67.956,
1992-10,-53.551,
1993-01,-198.914,
1993-04,-62.331,
1993-07,-10.805,
1993-10,524.691,
1994-01,29.857,
1994-04,-248.361,
1994-07,-626.517,
1994-10,-435.694,
1995-01,-645.383,
1995-04,-671.742,
1995-07,-463.767,
1995-10,-156.733,
1996-01,-333.275,
1996-04,-935.600,
1996-07,-460.441,
1996-10,-545.057,
1997-01,-711.240,
1997-04,-370.341,
1997-07,200.499,
1997-10,344.370,
1998-01,254.715,
1998-04,248.154,
1998-07,-144.168,
1998-10,-621.908,
1999-01,-1879.339,
1999-04,-724.215,
1999-07,-823.860,
1999-10,-1278.778,
2000-01,-1727.062,
2000-04,-1776.768,
2000-07,-1967.008,
2000-10,-2447.606,
2001-01,-1879.100,
2001-04,-1143.533,
2001-07,-694.004,
2001-10,62.693,
2002-01,-453.124,
2002-04,-515.066,
2002-07,-82.909,
2002-10,-118.229,
2003-01,-661.663,
2003-04,-56.767,
2003-07,184.673,
2003-10,-186.019,
2004-01,467.438,
2004-04,32.465,
2004-07,138.376,
2004-10,-704.241,
2005-01,-1214.393,
2005-04,-1541.680,
2005-07,-831.419,
2005-10,-452.310,
2006-01,-2770.260,
2006-04,-1983.537,
2006-07,-866.616,
2006-10,1307.439,
2007-01,28.313,
2007-04,566.018,
2007-07,1217.278,
2007-10,-175.150,
2008-01,-1111.501,
2008-04,-280.546,
2008-07,-1688.545,
2008-10,210.281,
2009-01,-290.611,
2009-04,-78.405,
2009-07,-514.691,
2009-10,-631.022,
2010-01,-1293.237,
2010-04,-1635.578,
2010-07,460.773,
2010-10,-130.442,
2011-01,-1258.683,
2011-04,254.590,
2011-07,-312.843,
2011-10,-1981.733,
2012-01,-1724.223,
2012-04,-324.977,
2012-07,740.751,
2012-10,-567.334,
2013-01,-1722.515,
2013-04,163.798,
2013-07,-561.411,
2013-10,-686.821,
2014-01,-2360.726,Provisional value
2014-04,-1168.359,Provisional value
2014-07,-499.339,Provisional value
