"",BBAI3.Q.DE.N.V.BF90.F.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.BF90.F.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Net worth,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:36,
2005-10,-7,
2006-01,4,
2006-04,4,
2006-07,-2,
2006-10,-4,
2007-01,-9,
2007-04,-10,
2007-07,-13,
2007-10,-9,
2008-01,-16,
2008-04,-21,
2008-07,-23,
2008-10,18,
2009-01,24,
2009-04,30,
2009-07,31,
2009-10,40,
2010-01,32,
2010-04,41,
2010-07,47,
2010-10,31,
2011-01,15,
2011-04,22,
2011-07,42,
2011-10,38,
2012-01,47,
2012-04,53,
2012-07,64,
2012-10,53,
2013-01,52,
2013-04,37,
2013-07,38,
2013-10,26,
2014-01,47,
2014-04,65,
2014-07,71,
