"",BBK01.OEAD15I,BBK01.OEAD15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:05,
2002-01,0.109,
2002-04,0.104,
2002-07,0.103,
2002-10,0.091,
2003-01,0.097,
2003-04,0.104,
2003-07,0.100,
2003-10,0.101,
2004-01,0.104,
2004-04,0.111,
2004-07,0.103,
2004-10,0.098,
2005-01,0.107,
2005-04,0.083,
2005-07,0.087,
2005-10,0.076,
2006-01,0.091,
2006-04,0.075,
2006-07,0.072,
2006-10,0.083,
2007-01,0.066,
2007-04,0.074,
2007-07,0.064,
2007-10,0.057,
2008-01,0.064,
2008-04,0.068,
2008-07,0.067,
2008-10,0.061,
2009-01,0.067,
2009-04,0.066,
2009-07,0.068,
2009-10,0.064,
2010-01,0.069,
2010-04,0.065,
2010-07,0.071,
2010-10,0.058,
2011-01,0.058,
2011-04,0.049,
2011-07,0.059,
2011-10,0.058,
2012-01,0.058,
2012-04,0.062,
2012-07,0.063,
2012-10,0.059,
2013-01,0.062,
2013-04,0.064,
2013-07,0.064,
2013-10,0.051,
2014-01,0.058,
2014-04,0.060,
2014-07,0.057,
