"",BBK01.OECI03H,BBK01.OECI03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:33,
2002-01,57.688,
2002-04,55.226,
2002-07,55.291,
2002-10,54.451,
2003-01,52.686,
2003-04,51.468,
2003-07,51.080,
2003-10,51.009,
2004-01,51.063,
2004-04,49.932,
2004-07,48.862,
2004-10,48.475,
2005-01,49.612,
2005-04,49.089,
2005-07,49.182,
2005-10,48.769,
2006-01,47.875,
2006-04,47.806,
2006-07,51.430,
2006-10,52.149,
2007-01,53.646,
2007-04,54.639,
2007-07,62.956,
2007-10,69.519,
2008-01,64.450,
2008-04,66.487,
2008-07,68.848,
2008-10,81.924,
2009-01,71.130,
2009-04,83.147,
2009-07,69.441,
2009-10,65.582,
2010-01,63.984,
2010-04,58.910,
2010-07,59.516,
2010-10,57.853,
2011-01,59.824,
2011-04,62.976,
2011-07,65.832,
2011-10,66.965,
2012-01,62.689,
2012-04,63.364,
2012-07,66.543,
2012-10,52.505,
2013-01,56.572,
2013-04,64.405,
2013-07,43.087,
2013-10,43.888,
2014-01,42.818,
2014-04,40.055,
2014-07,39.159,
