"",BBK01.OEHB20Q,BBK01.OEHB20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:52,
2002-01,10.995,
2002-04,11.042,
2002-07,11.090,
2002-10,11.186,
2003-01,11.228,
2003-04,11.217,
2003-07,11.264,
2003-10,11.295,
2004-01,11.231,
2004-04,11.203,
2004-07,11.202,
2004-10,11.207,
2005-01,11.153,
2005-04,11.120,
2005-07,11.173,
2005-10,11.183,
2006-01,11.157,
2006-04,11.119,
2006-07,11.119,
2006-10,11.077,
2007-01,10.965,
2007-04,10.925,
2007-07,10.884,
2007-10,10.813,
2008-01,10.747,
2008-04,10.713,
2008-07,10.595,
2008-10,10.522,
2009-01,10.516,
2009-04,10.498,
2009-07,10.539,
2009-10,10.510,
2010-01,10.486,
2010-04,10.564,
2010-07,10.709,
2010-10,10.739,
2011-01,10.720,
2011-04,10.727,
2011-07,10.738,
2011-10,10.725,
2012-01,10.693,
2012-04,10.720,
2012-07,10.791,
2012-10,10.787,
2013-01,10.796,
2013-04,10.805,
2013-07,10.844,
2013-10,10.845,
2014-01,10.802,
2014-04,10.809,
2014-07,10.864,
