"",BBFB1.Q.N.DE.GB.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:10,
1991-01,4872.518,
1991-04,4958.315,
1991-07,4899.171,
1991-10,5173.958,
1992-01,5008.397,
1992-04,4887.735,
1992-07,4640.884,
1992-10,4939.904,
1993-01,4013.482,
1993-04,4185.476,
1993-07,4050.449,
1993-10,4242.733,
1994-01,4427.569,
1994-04,4640.163,
1994-07,4575.720,
1994-10,4959.980,
1995-01,5351.994,
1995-04,5466.097,
1995-07,5008.135,
1995-10,5441.031,
1996-01,5665.990,
1996-04,5503.297,
1996-07,5529.503,
1996-10,6486.770,
1997-01,6091.515,
1997-04,6367.398,
1997-07,6504.703,
1997-10,7225.026,
1998-01,6969.279,
1998-04,6686.674,
1998-07,6404.038,
1998-10,6999.765,
1999-01,6061.269,
1999-04,7532.420,
1999-07,7375.566,
1999-10,8142.342,
2000-01,8417.592,
2000-04,8125.901,
2000-07,8593.482,
2000-10,9633.922,
2001-01,8761.494,
2001-04,9065.547,
2001-07,8200.331,
2001-10,9139.865,
2002-01,7321.689,
2002-04,8223.342,
2002-07,7578.703,
2002-10,8071.985,
2003-01,7903.993,
2003-04,7569.285,
2003-07,6837.974,
2003-10,7718.057,
2004-01,7311.570,
2004-04,7630.933,
2004-07,8336.602,
2004-10,9026.689,
2005-01,8114.877,
2005-04,9122.654,
2005-07,9264.409,
2005-10,10341.999,
2006-01,9183.452,
2006-04,9672.449,
2006-07,9725.858,
2006-10,10155.855,
2007-01,9632.415,
2007-04,10153.955,
2007-07,10001.345,
2007-10,10467.016,
2008-01,9721.505,
2008-04,10385.043,
2008-07,10000.992,
2008-10,9132.631,
2009-01,7512.700,
2009-04,7599.336,
2009-07,7943.388,
2009-10,8263.575,
2010-01,8635.117,
2010-04,9070.885,
2010-07,9203.425,
2010-10,10366.300,
2011-01,10789.098,
2011-04,10508.937,
2011-07,11050.947,
2011-10,10730.274,
2012-01,10762.879,
2012-04,10105.955,
2012-07,10015.921,
2012-10,10662.757,
2013-01,11140.973,
2013-04,10119.169,
2013-07,10548.719,
2013-10,11703.563,
2014-01,11111.192,Provisional value
2014-04,11172.451,Provisional value
2014-07,10561.167,Provisional value
