"",BBK01.OECI02K,BBK01.OECI02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:27,
2002-01,4.122,
2002-04,4.407,
2002-07,4.609,
2002-10,4.726,
2003-01,4.472,
2003-04,4.708,
2003-07,4.817,
2003-10,5.051,
2004-01,5.007,
2004-04,5.666,
2004-07,5.851,
2004-10,9.145,
2005-01,9.386,
2005-04,9.563,
2005-07,9.499,
2005-10,9.391,
2006-01,9.479,
2006-04,9.306,
2006-07,9.926,
2006-10,10.189,
2007-01,10.152,
2007-04,10.199,
2007-07,9.938,
2007-10,10.798,
2008-01,10.097,
2008-04,10.126,
2008-07,10.156,
2008-10,11.995,
2009-01,13.223,
2009-04,13.872,
2009-07,13.550,
2009-10,14.791,
2010-01,15.389,
2010-04,15.990,
2010-07,15.000,
2010-10,15.592,
2011-01,14.805,
2011-04,14.752,
2011-07,14.929,
2011-10,15.516,
2012-01,16.555,
2012-04,17.167,
2012-07,17.674,
2012-10,18.770,
2013-01,18.445,
2013-04,17.638,
2013-07,18.606,
2013-10,19.146,
2014-01,18.927,
2014-04,18.770,
2014-07,20.004,
