"",BBK01.OELJ02H,BBK01.OELJ02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:22,
2002-01,2.253,
2002-04,2.338,
2002-07,2.489,
2002-10,2.596,
2003-01,2.570,
2003-04,2.714,
2003-07,2.923,
2003-10,3.150,
2004-01,2.990,
2004-04,3.004,
2004-07,3.342,
2004-10,3.468,
2005-01,3.304,
2005-04,3.495,
2005-07,3.719,
2005-10,3.870,
2006-01,3.576,
2006-04,3.600,
2006-07,3.727,
2006-10,3.924,
2007-01,3.793,
2007-04,3.918,
2007-07,3.993,
2007-10,4.036,
2008-01,3.915,
2008-04,4.024,
2008-07,4.140,
2008-10,4.276,
2009-01,4.513,
2009-04,4.932,
2009-07,5.618,
2009-10,6.292,
2010-01,6.324,
2010-04,6.521,
2010-07,6.983,
2010-10,7.224,
2011-01,6.991,
2011-04,6.997,
2011-07,7.339,
2011-10,7.796,
2012-01,7.757,
2012-04,8.045,
2012-07,8.688,
2012-10,9.159,
2013-01,9.122,
2013-04,9.345,
2013-07,10.222,
2013-10,10.381,
2014-01,10.242,
2014-04,10.513,
2014-07,11.252,
