"",BBK01.CEFF5N,BBK01.CEFF5N_FLAGS
"",long-term loans  debtor: OFI creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:00,
1999-01,45.9,
1999-04,48.7,
1999-07,49.7,
1999-10,51.5,
2000-01,68.7,
2000-04,71.5,
2000-07,72.7,
2000-10,124.4,
2001-01,133.1,
2001-04,137.9,
2001-07,151.3,
2001-10,158.4,
2002-01,161.7,
2002-04,183.3,
2002-07,187.2,
2002-10,201.2,
2003-01,196.4,
2003-04,200.2,
2003-07,206.9,
2003-10,192.0,
2004-01,167.4,
2004-04,174.9,
2004-07,173.8,
2004-10,160.4,
2005-01,164.4,
2005-04,166.8,
2005-07,166.1,
2005-10,169.5,
2006-01,177.7,
2006-04,186.1,
2006-07,191.1,
2006-10,197.3,
2007-01,194.1,
2007-04,194.3,
2007-07,200.9,
2007-10,194.5,
2008-01,207.4,
2008-04,209.8,
2008-07,215.4,
2008-10,230.6,
2009-01,236.3,
2009-04,237.4,
2009-07,238.6,
2009-10,239.1,
2010-01,250.0,
2010-04,262.0,
2010-07,262.3,
2010-10,272.8,
2011-01,271.7,
2011-04,267.9,
2011-07,269.5,
2011-10,268.0,
2012-01,273.0,
2012-04,277.6,
2012-07,275.9,
2012-10,271.2,
2013-01,273.6,
2013-04,272.6,
2013-07,270.9,
2013-10,252.5,
2014-01,253.3,
2014-04,258.8,
2014-07,260.8,
