"",BBDE1.M.DE.Y.BAA1.N2B050000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2B050000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 05 Mining of coal and lignite / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:45,
1991-01,290.8,
1991-02,299.4,
1991-03,289.5,
1991-04,246.8,
1991-05,245.3,
1991-06,246.3,
1991-07,259.3,
1991-08,253.7,
1991-09,215.0,
1991-10,217.9,
1991-11,226.7,
1991-12,229.7,
1992-01,227.2,
1992-02,221.1,
1992-03,218.5,
1992-04,212.8,
1992-05,211.2,
1992-06,206.0,
1992-07,217.5,
1992-08,232.7,
1992-09,214.8,
1992-10,207.0,
1992-11,200.7,
1992-12,187.8,
1993-01,202.5,
1993-02,201.2,
1993-03,203.2,
1993-04,200.5,
1993-05,196.6,
1993-06,192.3,
1993-07,186.1,
1993-08,183.3,
1993-09,185.6,
1993-10,189.0,
1993-11,190.5,
1993-12,190.3,
1994-01,179.1,
1994-02,181.3,
1994-03,179.6,
1994-04,183.1,
1994-05,179.8,
1994-06,180.6,
1994-07,167.9,
1994-08,165.5,
1994-09,170.4,
1994-10,177.6,
1994-11,168.5,
1994-12,162.3,
1995-01,164.8,
1995-02,162.0,
1995-03,166.4,
1995-04,169.0,
1995-05,164.9,
1995-06,164.3,
1995-07,166.3,
1995-08,162.0,
1995-09,163.9,
1995-10,159.5,
1995-11,158.5,
1995-12,160.2,
1996-01,161.7,
1996-02,167.2,
1996-03,166.9,
1996-04,157.7,
1996-05,155.8,
1996-06,152.0,
1996-07,148.6,
1996-08,148.9,
1996-09,151.8,
1996-10,155.5,
1996-11,151.0,
1996-12,152.9,
1997-01,157.3,
1997-02,148.4,
1997-03,146.8,
1997-04,153.1,
1997-05,154.9,
1997-06,149.6,
1997-07,150.1,
1997-08,149.3,
1997-09,142.8,
1997-10,143.8,
1997-11,146.0,
1997-12,145.4,
1998-01,138.9,
1998-02,142.4,
1998-03,135.4,
1998-04,131.0,
1998-05,132.7,
1998-06,138.4,
1998-07,138.2,
1998-08,141.5,
1998-09,143.4,
1998-10,137.5,
1998-11,135.9,
1998-12,131.4,
1999-01,135.9,
1999-02,134.5,
1999-03,135.9,
1999-04,133.6,
1999-05,135.4,
1999-06,134.2,
1999-07,133.6,
1999-08,129.0,
1999-09,130.7,
1999-10,126.5,
1999-11,119.3,
1999-12,130.7,
2000-01,130.0,
2000-02,128.4,
2000-03,129.1,
2000-04,131.2,
2000-05,131.1,
2000-06,130.1,
2000-07,138.0,
2000-08,135.6,
2000-09,125.8,
2000-10,128.2,
2000-11,123.5,
2000-12,122.5,
2001-01,129.1,
2001-02,130.9,
2001-03,130.9,
2001-04,132.0,
2001-05,130.5,
2001-06,131.5,
2001-07,123.7,
2001-08,125.5,
2001-09,121.2,
2001-10,128.9,
2001-11,131.2,
2001-12,128.5,
2002-01,127.6,
2002-02,125.0,
2002-03,129.9,
2002-04,128.5,
2002-05,131.0,
2002-06,128.9,
2002-07,132.4,
2002-08,133.7,
2002-09,127.5,
2002-10,130.5,
2002-11,129.9,
2002-12,126.3,
2003-01,125.2,
2003-02,124.5,
2003-03,125.5,
2003-04,130.0,
2003-05,130.4,
2003-06,129.2,
2003-07,119.1,
2003-08,121.0,
2003-09,127.9,
2003-10,128.9,
2003-11,129.9,
2003-12,133.9,
2004-01,132.5,
2004-02,129.6,
2004-03,129.4,
2004-04,131.5,
2004-05,126.8,
2004-06,122.3,
2004-07,121.1,
2004-08,118.6,
2004-09,127.6,
2004-10,129.2,
2004-11,129.5,
2004-12,132.2,
2005-01,130.2,
2005-02,135.0,
2005-03,131.0,
2005-04,127.6,
2005-05,122.2,
2005-06,118.1,
2005-07,121.3,
2005-08,120.3,
2005-09,122.5,
2005-10,122.6,
2005-11,120.7,
2005-12,125.6,
2006-01,119.6,
2006-02,115.3,
2006-03,117.3,
2006-04,114.8,
2006-05,117.6,
2006-06,115.2,
2006-07,112.6,
2006-08,115.5,
2006-09,115.1,
2006-10,113.7,
2006-11,117.1,
2006-12,127.0,
2007-01,115.8,
2007-02,116.8,
2007-03,121.5,
