"",BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:50,
1991-01,-21.272,
1991-04,22.337,
1991-07,141.013,
1991-10,92.158,
1992-01,32.642,
1992-04,38.575,
1992-07,-11.407,
1992-10,77.621,
1993-01,106.223,
1993-04,117.880,
1993-07,107.913,
1993-10,540.291,
1994-01,45.906,
1994-04,90.252,
1994-07,63.253,
1994-10,138.072,
1995-01,210.517,
1995-04,349.093,
1995-07,353.342,
1995-10,363.869,
1996-01,357.856,
1996-04,479.689,
1996-07,-37.417,
1996-10,509.298,
1997-01,-87.178,
1997-04,112.679,
1997-07,-137.073,
1997-10,359.252,
1998-01,-403.169,
1998-04,269.654,
1998-07,400.213,
1998-10,567.069,
1999-01,-574.612,
1999-04,749.431,
1999-07,440.276,
1999-10,869.451,
2000-01,2353.758,
2000-04,2943.584,
2000-07,2391.383,
2000-10,244.642,
2001-01,2393.686,
2001-04,2196.259,
2001-07,-200.440,
2001-10,-3753.642,
2002-01,-2391.669,
2002-04,-66.726,
2002-07,64.406,
2002-10,48.819,
2003-01,589.425,
2003-04,-1018.421,
2003-07,219.275,
2003-10,10.999,
2004-01,155.084,
2004-04,433.581,
2004-07,111.427,
2004-10,1374.217,
2005-01,-1206.412,
2005-04,482.984,
2005-07,-1523.245,
2005-10,1280.050,
2006-01,-430.318,
2006-04,75.662,
2006-07,-209.113,
2006-10,1232.188,
2007-01,3890.594,
2007-04,2439.883,
2007-07,-1131.542,
2007-10,4174.048,
2008-01,-52.426,
2008-04,1142.213,
2008-07,785.994,
2008-10,-4101.680,
2009-01,1704.525,
2009-04,298.569,
2009-07,386.438,
2009-10,-3798.267,
2010-01,-1097.722,
2010-04,933.792,
2010-07,-309.239,
2010-10,1157.228,
2011-01,99.167,
2011-04,72.046,
2011-07,834.724,
2011-10,1040.695,
2012-01,393.544,
2012-04,1141.117,
2012-07,-118.162,
2012-10,-2464.097,
2013-01,1277.328,
2013-04,728.399,
2013-07,358.461,
2013-10,965.244,
2014-01,479.272,
2014-04,368.072,
2014-07,-724.425,
2014-10,-898.839,
