"",BBK01.TUD427,BBK01.TUD427_FLAGS
"",Deposits of banks (MFIs) in the euro area / Total / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:14,
1979-12,252826,
1980-01,239725,
1980-02,240309,
1980-03,244654,
1980-04,245704,
1980-05,248741,
1980-06,254590,
1980-07,252740,
1980-08,250752,
1980-09,256422,
1980-10,261388,
1980-11,274049,
1980-12,278003,
1981-01,272091,
1981-02,266146,
1981-03,269123,
1981-04,264823,
1981-05,269170,
1981-06,272220,
1981-07,270548,
1981-08,275899,
1981-09,276476,
1981-10,278478,
1981-11,289953,
1981-12,293587,
1982-01,283304,
1982-02,285517,
1982-03,292226,
1982-04,286070,
1982-05,288305,
1982-06,289885,
1982-07,289626,
1982-08,293452,
1982-09,299769,
1982-10,300708,
1982-11,310158,
1982-12,310864,
1983-01,299177,
1983-02,294802,
1983-03,291852,
1983-04,294788,
1983-05,301323,
1983-06,307423,
1983-07,302225,
1983-08,303812,
1983-09,304671,
1983-10,309431,
1983-11,313839,
1983-12,322392,
1984-01,308271,
1984-02,310115,
1984-03,308357,
1984-04,300607,
1984-05,300513,
1984-06,308190,
1984-07,310994,
1984-08,317468,
1984-09,325912,
1984-10,329872,
1984-11,341483,
1984-12,349973,
1985-01,330654,
1985-02,340573,
1985-03,337108,
1985-04,331524,
1985-05,333373,
1985-06,343221,
1985-07,339278,
1985-08,336960,
1985-09,342486,
1985-10,348241,
1985-11,357490,
1985-12,373225,
1986-01,353504,
1986-02,351205,
1986-03,357922,
1986-04,359284,
1986-05,360068,
1986-06,368234,
1986-07,362137,
1986-08,366476,
1986-09,367050,
1986-10,366979,
1986-11,387505,
1986-12,393526,
1987-01,373469,
1987-02,374883,
1987-03,386798,
1987-04,375104,
1987-05,381242,
1987-06,385888,
1987-07,384614,
1987-08,393938,
1987-09,394985,
1987-10,399093,
1987-11,406098,
1987-12,410658,
1988-01,397647,
1988-02,406951,
1988-03,403818,
1988-04,399154,
1988-05,402398,
1988-06,414772,
1988-07,421834,
1988-08,435338,
1988-09,445601,
1988-10,453780,
1988-11,462050,
1988-12,468162,
1989-01,451742,
1989-02,452718,
1989-03,459165,
1989-04,463445,
1989-05,465224,
1989-06,470404,
1989-07,476603,
1989-08,469200,
1989-09,475983,
1989-10,480143,
1989-11,504285,
1989-12,508966,
1990-01,498003,
1990-02,507713,
1990-03,503246,
1990-04,494870,
1990-05,501290,
1990-06,649571,
1990-07,668293,
1990-08,678949,
1990-09,685202,
1990-10,691105,
1990-11,693035,
1990-12,695299,
1991-01,677047,
1991-02,673913,
1991-03,670719,
1991-04,666818,
1991-05,663692,
1991-06,679406,
1991-07,672352,
1991-08,665538,
1991-09,674449,
1991-10,673961,
1991-11,697069,
1991-12,698281,
1992-01,680377,
1992-02,679501,
1992-03,682383,
1992-04,673341,
1992-05,672587,
1992-06,680537,
1992-07,676007,
1992-08,687187,
1992-09,678170,
1992-10,696800,
1992-11,729466,
1992-12,718659,
1993-01,709049,
1993-02,718191,
1993-03,731591,
1993-04,726347,
1993-05,732006,
1993-06,744021,
1993-07,733655,
1993-08,721393,
1993-09,743791,
1993-10,755068,
1993-11,783852,
1993-12,795717,
1994-01,787793,
1994-02,789252,
1994-03,774523,
1994-04,774593,
1994-05,779742,
1994-06,780409,
1994-07,777619,
1994-08,779152,
1994-09,780239,
1994-10,799107,
1994-11,828709,
1994-12,844072,
1995-01,815695,
1995-02,829178,
1995-03,822042,
1995-04,829139,
1995-05,831416,
1995-06,824682,
1995-07,805063,
1995-08,816191,
1995-09,833695,
1995-10,844052,
1995-11,888602,
1995-12,900664,
1996-01,893917,
1996-02,910680,
1996-03,918483,
1996-04,914136,
1996-05,908850,
1996-06,925726,
1996-07,924937,
1996-08,936807,
1996-09,947534,
1996-10,963290,
1996-11,1001047,
1996-12,1009929,
1997-01,992811,
1997-02,1014485,
1997-03,1025238,
1997-04,1025859,
1997-05,1043451,
1997-06,1070373,
1997-07,1063040,
1997-08,1075971,
1997-09,1067754,
1997-10,1098962,
1997-11,1127905,
1997-12,1122604,
1998-01,1131630,
1998-02,1135805,
1998-03,1147122,
1998-04,1145520,
1998-05,1167692,
1998-06,1192989,
1998-07,1173831,
1998-08,1207433,
1998-09,1206717,
1998-10,1240578,
1998-11,1283655,
1998-12,1268144,
1999-01,1273857,
1999-02,1220188,
1999-03,1210721,
1999-04,1228689,
1999-05,1244631,
1999-06,1242406,
1999-07,1265127,
1999-08,1279913,
1999-09,1293369,
1999-10,1317765,
1999-11,1326060,
1999-12,1288093,
2000-01,1311925,
2000-02,1297873,
2000-03,1327871,
2000-04,1317384,
2000-05,1341852,
2000-06,1308517,
