"",BBK01.OEHB17R,BBK01.OEHB17R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:01,
2002-01,3.124,
2002-04,3.170,
2002-07,3.218,
2002-10,3.256,
2003-01,3.220,
2003-04,3.248,
2003-07,3.266,
2003-10,3.283,
2004-01,3.239,
2004-04,3.237,
2004-07,3.229,
2004-10,3.221,
2005-01,3.174,
2005-04,3.167,
2005-07,3.173,
2005-10,3.168,
2006-01,3.114,
2006-04,3.127,
2006-07,3.125,
2006-10,3.111,
2007-01,3.072,
2007-04,3.061,
2007-07,3.036,
2007-10,3.005,
2008-01,2.973,
2008-04,2.967,
2008-07,2.971,
2008-10,2.958,
2009-01,2.924,
2009-04,2.927,
2009-07,2.933,
2009-10,2.950,
2010-01,2.938,
2010-04,2.953,
2010-07,2.976,
2010-10,2.999,
2011-01,2.986,
2011-04,2.992,
2011-07,3.006,
2011-10,3.012,
2012-01,3.009,
2012-04,3.047,
2012-07,3.086,
2012-10,3.102,
2013-01,3.102,
2013-04,3.137,
2013-07,3.174,
2013-10,3.198,
2014-01,3.202,
2014-04,3.238,
2014-07,3.281,
