"",BBK01.OEYK01P,BBK01.OEYK01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:47,
2002-01,0.056,
2002-04,0.058,
2002-07,0.054,
2002-10,0.053,
2003-01,0.086,
2003-04,0.076,
2003-07,0.072,
2003-10,0.068,
2004-01,0.052,
2004-04,0.050,
2004-07,0.044,
2004-10,0.048,
2005-01,0.063,
2005-04,0.062,
2005-07,0.060,
2005-10,0.063,
2006-01,0.062,
2006-04,0.064,
2006-07,0.065,
2006-10,0.075,
2007-01,0.069,
2007-04,0.065,
2007-07,0.062,
2007-10,0.063,
2008-01,0.060,
2008-04,0.059,
2008-07,0.061,
2008-10,0.065,
2009-01,0.060,
2009-04,0.059,
2009-07,0.060,
2009-10,0.065,
2010-01,0.064,
2010-04,0.100,
2010-07,0.103,
2010-10,0.101,
2011-01,0.096,
2011-04,0.098,
2011-07,0.099,
2011-10,0.097,
2012-01,0.094,
2012-04,0.096,
2012-07,0.097,
2012-10,0.096,
2013-01,0.099,
2013-04,0.096,
2013-07,0.095,
2013-10,0.096,
2014-01,0.095,
2014-04,0.100,
2014-07,0.097,
